id,link_skill_id,skill_lv,description
6502,65,2,"Ki +2; ATK & DEF +0.5% 
when HP is 50% or less"
6503,65,3,"Ki +2; ATK & DEF +1% 
when HP is 50% or less"
6504,65,4,"Ki +2; ATK & DEF +1.5% 
when HP is 50% or less"
6505,65,5,"Ki +2; ATK & DEF +2.5% 
when HP is 50% or less"
6506,65,6,"Ki +2; ATK & DEF +3% and recovers 1% HP 
when HP is 50% or less"
6507,65,7,"Ki +2; ATK & DEF +3.5% and recovers 2% HP 
when HP is 50% or less"
6508,65,8,"Ki +2; ATK & DEF +4% and recovers 3% HP 
when HP is 50% or less"
6509,65,9,"Ki +2; ATK & DEF +4.5% and recovers 4% HP 
when HP is 50% or less"
6510,65,10,"Ki +2; ATK & DEF +5% and recovers 5% HP 
when HP is 50% or less"
6601,66,1,Ki +1
6602,66,2,"Ki +1 and chance of 
performing a critical hit +0.5%"
6603,66,3,"Ki +1 and chance of 
performing a critical hit +1%"
6604,66,4,"Ki +1 and chance of 
performing a critical hit +1.5%"
6605,66,5,"Ki +1 and chance of 
performing a critical hit +2.5%"
6606,66,6,"Ki +1 and chance of 
performing a critical hit +3%"
6607,66,7,"Ki +1 and chance of 
performing a critical hit +3.5%"
6608,66,8,"Ki +1 and chance of 
performing a critical hit +4%"
6609,66,9,"Ki +1 and chance of 
performing a critical hit +4.5%"
6610,66,10,"Ki +2 and chance of 
performing a critical hit +5%"
6701,67,1,Ki +2
6702,67,2,Ki +2 and ATK & DEF +0.5%
6703,67,3,Ki +2 and ATK & DEF +1%
6704,67,4,Ki +2 and ATK & DEF +1.5%
6705,67,5,Ki +2 and ATK & DEF +2.5%
6706,67,6,"Ki +2, ATK & DEF +3% and 
chance of performing a critical hit +1%"
6707,67,7,"Ki +2, ATK & DEF +3.5% and 
chance of performing a critical hit +2%"
6708,67,8,"Ki +2, ATK & DEF +4% and 
chance of performing a critical hit +3%"
6709,67,9,"Ki +2, ATK & DEF +4.5% and 
chance of performing a critical hit +4%"
6710,67,10,"Ki +2 and ATK, DEF & 
chance of performing a critical hit +5%"
6801,68,1,ATK +10%
6802,68,2,ATK +10% and DEF +1%
6803,68,3,ATK +10% and DEF +2%
6804,68,4,ATK +10% and DEF +3%
6805,68,5,"Ki +1, ATK +10% and DEF +5%"
6806,68,6,"Ki +1, ATK +10% and DEF +6%"
6807,68,7,"Ki +1, ATK +10% and DEF +7%"
6808,68,8,"Ki +1, ATK +10% and DEF +8%"
6809,68,9,"Ki +1, ATK +10% and DEF +9%"
6810,68,10,Ki +1 and ATK & DEF +10%
6901,69,1,Ki +2
6902,69,2,Ki +2 and DEF +2%
6903,69,3,Ki +2 and DEF +4%
6904,69,4,Ki +2 and DEF +6%
6905,69,5,Ki +2 and DEF +10%
6906,69,6,Ki +2 and DEF +12%
6907,69,7,Ki +2 and DEF +14%
6908,69,8,Ki +2 and DEF +16%
6909,69,9,Ki +2 and DEF +18%
6910,69,10,Ki +2 and DEF +20%
7001,70,1,ATK +10%
7002,70,2,"ATK +10%; plus an additional ATK +0.5% 
when performing a Super Attack"
7003,70,3,"ATK +10%; plus an additional ATK +1% 
when performing a Super Attack"
7004,70,4,"ATK +10%; plus an additional ATK +1.5% 
when performing a Super Attack"
7005,70,5,"ATK +10%; plus an additional ATK +2.5% 
when performing a Super Attack"
7006,70,6,"ATK +10%; plus an additional ATK +3% 
when performing a Super Attack"
7007,70,7,"ATK +10%; plus an additional ATK +3.5% 
when performing a Super Attack"
7008,70,8,"ATK +10%; plus an additional ATK +4% 
when performing a Super Attack"
7009,70,9,"ATK +10%; plus an additional ATK +4.5% 
when performing a Super Attack"
7010,70,10,"ATK +10%; plus an additional ATK +5% 
when performing a Super Attack"
7101,71,1,ATK +15%
7102,71,2,ATK +15.5%
7103,71,3,ATK +16%
7104,71,4,ATK +16.5%
7105,71,5,ATK +17.5%
7106,71,6,ATK +18%
7107,71,7,ATK +18.5%
7108,71,8,ATK +19%
7109,71,9,ATK +19.5%
7110,71,10,ATK +20%
7201,72,1,ATK & DEF +20%
7202,72,2,ATK & DEF +20.5%
7203,72,3,ATK & DEF +21%
7204,72,4,ATK & DEF +21.5%
7205,72,5,ATK & DEF +22.5%
7206,72,6,ATK & DEF +23%
7207,72,7,ATK & DEF +23.5%
7208,72,8,ATK & DEF +24%
7209,72,9,ATK & DEF +24.5%
7210,72,10,ATK & DEF +25%
7301,73,1,Ki +1
7302,73,2,Ki +1 and reduces damage received by 0.5%
7303,73,3,Ki +1 and reduces damage received by 1%
7304,73,4,Ki +1 and reduces damage received by 1.5%
7305,73,5,Ki +1 and reduces damage received by 2.5%
7306,73,6,Ki +1 and reduces damage received by 3%
7307,73,7,Ki +1 and reduces damage received by 3.5%
7308,73,8,Ki +1 and reduces damage received by 4%
7309,73,9,Ki +1 and reduces damage received by 4.5%
7310,73,10,Ki +2 and reduces damage received by 5%
7401,74,1,Ki +2
7402,74,2,Ki +2 and DEF +2%
7403,74,3,Ki +2 and DEF +4%
7404,74,4,Ki +2 and DEF +6%
7405,74,5,Ki +2 and DEF +10%
7406,74,6,Ki +2 and DEF +12%
7407,74,7,Ki +2 and DEF +14%
7408,74,8,Ki +2 and DEF +16%
7409,74,9,Ki +2 and DEF +18%
7410,74,10,Ki +2 and DEF +20%
7501,75,1,Ki +1
7502,75,2,Ki +1 and DEF +2%
7503,75,3,Ki +1 and DEF +4%
7504,75,4,Ki +1 and DEF +6%
7505,75,5,Ki +1 and DEF +10%
7506,75,6,Ki +1 and DEF +12%
7507,75,7,Ki +1 and DEF +14%
7508,75,8,Ki +1 and DEF +16%
7509,75,9,Ki +1 and DEF +18%
7510,75,10,Ki +2 and DEF +20%
7601,76,1,ATK +15%
7602,76,2,ATK +15% and all enemies' DEF -1%
7603,76,3,ATK +15% and all enemies' DEF -2%
7604,76,4,ATK +15% and all enemies' DEF -3%
7605,76,5,ATK +15% and all enemies' DEF -5%
7606,76,6,ATK +15% and all enemies' DEF -6%
7607,76,7,ATK +15% and all enemies' DEF -7%
7608,76,8,ATK +15% and all enemies' DEF -8%
7609,76,9,ATK +15% and all enemies' DEF -9%
7610,76,10,ATK +15% and all enemies' DEF -10%
7701,77,1,Ki +2
7702,77,2,Ki +2 and DEF +2%
7703,77,3,Ki +2 and DEF +4%
7704,77,4,Ki +2 and DEF +6%
7705,77,5,Ki +2 and DEF +10%
7706,77,6,Ki +2 and DEF +12%
7707,77,7,Ki +2 and DEF +14%
7708,77,8,Ki +2 and DEF +16%
7709,77,9,Ki +2 and DEF +18%
7710,77,10,Ki +2 and DEF +20%
7901,79,1,Recovers 5% HP
7902,79,2,Recovers 5% HP and DEF +0.7%
7903,79,3,Recovers 5% HP and DEF +1.4%
7904,79,4,Recovers 5% HP and DEF +2.1%
7905,79,5,Recovers 6% HP and DEF +3.5%
7906,79,6,Recovers 6% HP and DEF +4.2%
7907,79,7,Recovers 6% HP and DEF +4.9%
7908,79,8,Recovers 6% HP and DEF +5.6%
7909,79,9,Recovers 6% HP and DEF +6.3%
7910,79,10,Recovers 7% HP and DEF +7%
8001,80,1,ATK +15%
8002,80,2,"ATK +15% and chance of 
performing a critical hit +0.5%"
8003,80,3,"ATK +15% and chance of 
performing a critical hit +1%"
8004,80,4,"ATK +15% and chance of 
performing a critical hit +1.5%"
8005,80,5,"ATK +15% and chance of 
performing a critical hit +2.5%"
8006,80,6,"ATK +15% and chance of 
performing a critical hit +3%"
8007,80,7,"ATK +15% and chance of 
performing a critical hit +3.5%"
8008,80,8,"ATK +15% and chance of 
performing a critical hit +4%"
8009,80,9,"ATK +15% and chance of 
performing a critical hit +4.5%"
8010,80,10,"ATK +15% and chance of 
performing a critical hit +5%"
8101,81,1,Ki +2
8102,81,2,Ki +2 and recovers 0.3% HP
8103,81,3,Ki +2 and recovers 0.6% HP
8104,81,4,Ki +2 and recovers 0.9% HP
8105,81,5,Ki +2 and recovers 1.5% HP
8106,81,6,Ki +2 and recovers 1.8% HP
8107,81,7,Ki +2 and recovers 2.1% HP
8108,81,8,Ki +2 and recovers 2.4% HP
8109,81,9,Ki +2 and recovers 2.7% HP
8110,81,10,Ki +3 and recovers 3% HP
8201,82,1,ATK +10%
8202,82,2,ATK +10.5%
8203,82,3,ATK +11%
8204,82,4,ATK +11.5%
8205,82,5,ATK +12.5%
8206,82,6,ATK +13%
8207,82,7,ATK +13.5%
8208,82,8,ATK +14%
8209,82,9,ATK +14.5%
8210,82,10,ATK +15%
8301,83,1,ATK & DEF +10%
8302,83,2,ATK & DEF +10.5%
8303,83,3,ATK & DEF +11%
8304,83,4,ATK & DEF +11.5%
8305,83,5,Ki +1 and ATK & DEF +12.5%
8306,83,6,Ki +1 and ATK & DEF +13%
8307,83,7,Ki +1 and ATK & DEF +13.5%
8308,83,8,Ki +1 and ATK & DEF +14%
8309,83,9,Ki +1 and ATK & DEF +14.5%
8310,83,10,Ki +2 and ATK & DEF +15%
8401,84,1,Ki +1
8402,84,2,Ki +1 and recovers 0.3% HP
8403,84,3,Ki +1 and recovers 0.6% HP
8404,84,4,Ki +1 and recovers 0.9% HP
8405,84,5,Ki +1 and recovers 1.5% HP
8406,84,6,Ki +1 and recovers 1.8% HP
8407,84,7,Ki +1 and recovers 2.1% HP
8408,84,8,Ki +1 and recovers 2.4% HP
8409,84,9,Ki +1 and recovers 2.7% HP
8410,84,10,Ki +2 and recovers 3% HP
8501,85,1,Ki +2
8502,85,2,All enemies' DEF -1% and Ki +2
8503,85,3,All enemies' DEF -2% and Ki +2
8504,85,4,All enemies' DEF -3% and Ki +2
8505,85,5,All enemies' DEF -5% and Ki +2
8506,85,6,All enemies' DEF -6% and Ki +2
8507,85,7,All enemies' DEF -7% and Ki +2
8508,85,8,All enemies' DEF -8% and Ki +2
8509,85,9,All enemies' DEF -9% and Ki +2
8510,85,10,All enemies' DEF -10% and Ki +2
8601,86,1,ATK +15%
8602,86,2,ATK +15% and DEF +1.5%
8603,86,3,ATK +15% and DEF +3%
8604,86,4,ATK +15% and DEF +4.5%
8605,86,5,ATK +15% and DEF +7.5%
8606,86,6,ATK +15% and DEF +9%
8607,86,7,ATK +15% and DEF +10.5%
8608,86,8,ATK +15% and DEF +12%
8609,86,9,ATK +15% and DEF +13.5%
8610,86,10,ATK & DEF +15%
8701,87,1,Ki +2
8702,87,2,Ki +2 and ATK +0.5%
8703,87,3,Ki +2 and ATK +1%
8704,87,4,Ki +2 and ATK +1.5%
8705,87,5,Ki +2 and ATK +2.5%
8706,87,6,"Ki +2, ATK +3% and chance of 
performing a critical hit +1%"
8707,87,7,"Ki +2, ATK +3.5% and chance of 
performing a critical hit +2%"
8708,87,8,"Ki +2, ATK +4% and chance of 
performing a critical hit +3%"
8709,87,9,"Ki +2, ATK +4.5% and chance of 
performing a critical hit +4%"
8710,87,10,"Ki +2 and ATK & chance of 
performing a critical hit +5%"
8801,88,1,ATK +20%
8802,88,2,ATK +20% and DEF +2%
8803,88,3,ATK +20% and DEF +4%
8804,88,4,ATK +20% and DEF +6%
8805,88,5,"Ki +1, ATK +20% and DEF +10%"
8806,88,6,"Ki +1, ATK +20% and DEF +12%"
8807,88,7,"Ki +1, ATK +20% and DEF +14%"
8808,88,8,"Ki +1, ATK +20% and DEF +16%"
8809,88,9,"Ki +1, ATK +20% and DEF +18%"
8810,88,10,Ki +2 and ATK & DEF +20%
8901,89,1,Ki +3
8902,89,2,Ki +3 and ATK +0.7%
8903,89,3,Ki +3 and ATK +1.4%
8904,89,4,Ki +3 and ATK +2.1%
8905,89,5,Ki +3 and ATK +3.5%
8906,89,6,Ki +3 and ATK +4.2%
8907,89,7,Ki +3 and ATK +4.9%
8908,89,8,Ki +3 and ATK +5.6%
8909,89,9,Ki +3 and ATK +6.3%
8910,89,10,Ki +3 and ATK +7%
9001,90,1,Ki +2
9002,90,2,Ki +2 and ATK & DEF +0.7%
9003,90,3,Ki +2 and ATK & DEF +1.4%
9004,90,4,Ki +2 and ATK & DEF +2.1%
9005,90,5,Ki +2 and ATK & DEF +3.5%
9006,90,6,Ki +2 and ATK & DEF +4.2%
9007,90,7,Ki +2 and ATK & DEF +4.9%
9008,90,8,Ki +2 and ATK & DEF +5.6%
9009,90,9,Ki +2 and ATK & DEF +6.3%
9010,90,10,Ki +3 and ATK & DEF +7%
9101,91,1,Ki +1
9102,91,2,"Ki +1 and chance of 
performing a critical hit +0.5%"
9103,91,3,"Ki +1 and chance of 
performing a critical hit +1%"
9104,91,4,"Ki +1 and chance of 
performing a critical hit +1.5%"
9105,91,5,"Ki +1 and chance of 
performing a critical hit +2.5%"
9106,91,6,"Ki +1 and chance of 
performing a critical hit +3%"
9107,91,7,"Ki +1 and chance of 
performing a critical hit +3.5%"
9108,91,8,"Ki +1 and chance of 
performing a critical hit +4%"
9109,91,9,"Ki +1 and chance of 
performing a critical hit +4.5%"
9110,91,10,"Ki +2 and chance of 
performing a critical hit +5%"
9201,92,1,ATK +25%
9202,92,2,ATK +25% and DEF +2.5%
9203,92,3,ATK +25% and DEF +5%
9204,92,4,ATK +25% and DEF +7.5%
9205,92,5,ATK +25% and DEF +12.5%
9206,92,6,ATK +25% and DEF +15%
9207,92,7,ATK +25% and DEF +17.5%
9208,92,8,ATK +25% and DEF +20%
9209,92,9,ATK +25% and DEF +22.5%
9210,92,10,ATK & DEF +25%
9301,93,1,ATK +25%
9302,93,2,"ATK +25% and chance of 
performing a critical hit +0.5%"
9303,93,3,"ATK +25% and chance of 
performing a critical hit +1%"
9304,93,4,"ATK +25% and chance of 
performing a critical hit +1.5%"
9305,93,5,"ATK +25% and chance of 
performing a critical hit +2.5%"
9306,93,6,"ATK +25% and chance of 
performing a critical hit +3%"
9307,93,7,"ATK +25% and chance of 
performing a critical hit +3.5%"
9308,93,8,"ATK +25% and chance of 
performing a critical hit +4%"
9309,93,9,"ATK +25% and chance of 
performing a critical hit +4.5%"
9310,93,10,"ATK +25% and chance of 
performing a critical hit +5%"
9401,94,1,Ki +2
9402,94,2,Ki +2 and ATK +0.7%
9403,94,3,Ki +2 and ATK +1.4%
9404,94,4,Ki +2 and ATK +2.1%
9405,94,5,Ki +2 and ATK +3.5%
9406,94,6,Ki +2 and ATK +4.2%
9407,94,7,Ki +2 and ATK +4.9%
9408,94,8,Ki +2 and ATK +5.6%
9409,94,9,Ki +2 and ATK +6.3%
9410,94,10,Ki +3 and ATK +7%
9501,95,1,Ki +2
9502,95,2,Ki +2 and ATK & DEF +1%
9503,95,3,Ki +2 and ATK & DEF +2%
9504,95,4,Ki +2 and ATK & DEF +3%
9505,95,5,Ki +2 and ATK & DEF +5%
9506,95,6,Ki +2 and ATK & DEF +6%
9507,95,7,Ki +2 and ATK & DEF +7%
9508,95,8,Ki +2 and ATK & DEF +8%
9509,95,9,Ki +2 and ATK & DEF +9%
9510,95,10,Ki +2 and ATK & DEF +10%
9601,96,1,Recovers 3% HP
9602,96,2,Recovers 3% HP and DEF +1%
9603,96,3,Recovers 3% HP and DEF +2%
9604,96,4,Recovers 3% HP and DEF +3%
9605,96,5,"Ki +1, recovers 3% HP and DEF +5%"
9606,96,6,"Ki +1, recovers 3% HP and DEF +6%"
9607,96,7,"Ki +1, recovers 3% HP and DEF +7%"
9608,96,8,"Ki +1, recovers 3% HP and DEF +8%"
9609,96,9,"Ki +1, recovers 3% HP and DEF +9%"
9610,96,10,"Ki +2, recovers 3% HP and DEF +10%"
9701,97,1,Ki +2
9702,97,2,Ki +2 and ATK & DEF +0.5%
9703,97,3,Ki +2 and ATK & DEF +1%
9704,97,4,Ki +2 and ATK & DEF +1.5%
9705,97,5,Ki +2 and ATK & DEF +2.5%
9706,97,6,Ki +2 and ATK & DEF +3%
9707,97,7,Ki +2 and ATK & DEF +3.5%
9708,97,8,Ki +2 and ATK & DEF +4%
9709,97,9,Ki +2 and ATK & DEF +4.5%
9710,97,10,Ki +2 and ATK & DEF +5%
9801,98,1,ATK +25%
9802,98,2,ATK +25% and DEF +1.5%
9803,98,3,ATK +25% and DEF +3%
9804,98,4,ATK +25% and DEF +4.5%
9805,98,5,ATK +25% and DEF +7.5%
9806,98,6,ATK +25% and DEF +9%
9807,98,7,ATK +25% and DEF +10.5%
9808,98,8,ATK +25% and DEF +12%
9809,98,9,ATK +25% and DEF +13.5%
9810,98,10,ATK +25% and DEF +15%
10001,100,1,Ki +1
10002,100,2,"Ki +1 and chance of 
performing a critical hit +0.5%"
10003,100,3,"Ki +1 and chance of 
performing a critical hit +1%"
10004,100,4,"Ki +1 and chance of 
performing a critical hit +1.5%"
10005,100,5,"Ki +1 and chance of 
performing a critical hit +2.5%"
10006,100,6,"Ki +1 and chance of 
performing a critical hit +3%"
10007,100,7,"Ki +1 and chance of 
performing a critical hit +3.5%"
10008,100,8,"Ki +1 and chance of 
performing a critical hit +4%"
10009,100,9,"Ki +1 and chance of 
performing a critical hit +4.5%"
10010,100,10,"Ki +2 and chance of 
performing a critical hit +5%"
10101,101,1,Ki +2
10102,101,2,Ki +2 and ATK & DEF +0.5%
10103,101,3,Ki +2 and ATK & DEF +1%
10104,101,4,Ki +2 and ATK & DEF +1.5%
10105,101,5,Ki +2 and ATK & DEF +2.5%
10106,101,6,Ki +2 and ATK & DEF +3%
10107,101,7,Ki +2 and ATK & DEF +3.5%
10108,101,8,Ki +2 and ATK & DEF +4%
10109,101,9,Ki +2 and ATK & DEF +4.5%
10110,101,10,Ki +3 and ATK & DEF +5%
10201,102,1,ATK +20%
10202,102,2,"ATK +20% and chance of 
performing a critical hit +0.7%"
10203,102,3,"ATK +20% and chance of 
performing a critical hit +1.4%"
10204,102,4,"ATK +20% and chance of 
performing a critical hit +2.1%"
10205,102,5,"ATK +20% and chance of 
performing a critical hit +3.5%"
10206,102,6,"ATK +20% and chance of 
performing a critical hit +4.2%"
10207,102,7,"ATK +20% and chance of 
performing a critical hit +4.9%"
10208,102,8,"ATK +20% and chance of 
performing a critical hit +5.6%"
10209,102,9,"ATK +20% and chance of 
performing a critical hit +6.3%"
10210,102,10,"ATK +20% and chance of 
performing a critical hit +7%"
10301,103,1,ATK +5% when performing a Super Attack
10302,103,2,ATK +5.5% when performing a Super Attack
10303,103,3,ATK +6% when performing a Super Attack
10304,103,4,ATK +6.5% when performing a Super Attack
10305,103,5,ATK +7.5% when performing a Super Attack
10306,103,6,ATK +8% when performing a Super Attack
10307,103,7,ATK +8.5% when performing a Super Attack
10308,103,8,ATK +9% when performing a Super Attack
10309,103,9,ATK +9.5% when performing a Super Attack
10310,103,10,ATK +10% when performing a Super Attack
10401,104,1,Ki +1
10402,104,2,Ki +1 and ATK +1%
10403,104,3,Ki +1 and ATK +2%
10404,104,4,Ki +1 and ATK +3%
10405,104,5,Ki +1 and ATK +5%
10406,104,6,Ki +1 and ATK +6%
10407,104,7,Ki +1 and ATK +7%
10408,104,8,Ki +1 and ATK +8%
10409,104,9,Ki +1 and ATK +9%
10410,104,10,Ki +2 and ATK +10%
10501,105,1,Recovers 3% HP
10502,105,2,"Recovers 3% HP and 
reduces damage received by 0.5%"
10503,105,3,"Recovers 3% HP and 
reduces damage received by 1%"
10504,105,4,"Recovers 3% HP and 
reduces damage received by 1.5%"
10505,105,5,"Recovers 4% HP and 
reduces damage received by 2.5%"
10506,105,6,"Recovers 4% HP and 
reduces damage received by 3%"
10507,105,7,"Recovers 4% HP and 
reduces damage received by 3.5%"
10508,105,8,"Recovers 4% HP and 
reduces damage received by 4%"
10509,105,9,"Recovers 4% HP and 
reduces damage received by 4.5%"
10510,105,10,"Recovers 5% HP and 
reduces damage received by 5%"
10601,106,1,Ki +2
10602,106,2,Ki +2 and ATK & DEF +1%
10603,106,3,Ki +2 and ATK & DEF +2%
10604,106,4,Ki +2 and ATK & DEF +3%
10605,106,5,Ki +2 and ATK & DEF +5%
10606,106,6,Ki +2 and ATK & DEF +6%
10607,106,7,Ki +2 and ATK & DEF +7%
10608,106,8,Ki +2 and ATK & DEF +8%
10609,106,9,Ki +2 and ATK & DEF +9%
10610,106,10,Ki +2 and ATK & DEF +10%
10701,107,1,ATK +15%
10702,107,2,ATK +15.5%
10703,107,3,ATK +16%
10704,107,4,ATK +16.5%
10705,107,5,ATK +17.5%
10706,107,6,ATK +18%
10707,107,7,ATK +18.5%
10708,107,8,ATK +19%
10709,107,9,ATK +19.5%
10710,107,10,ATK +20%
10801,108,1,Ki +2
10802,108,2,Ki +2 and ATK & DEF +1%
10803,108,3,Ki +2 and ATK & DEF +2%
10804,108,4,Ki +2 and ATK & DEF +3%
10805,108,5,Ki +2 and ATK & DEF +5%
10806,108,6,"Ki +2, recovers 0.6% HP and ATK & DEF +6%"
10807,108,7,"Ki +2, recovers 1.2% HP and ATK & DEF +7%"
10808,108,8,"Ki +2, recovers 1.8% HP and ATK & DEF +8%"
10809,108,9,"Ki +2, recovers 2.4% HP and ATK & DEF +9%"
10810,108,10,"Ki +2, recovers 3% HP and ATK & DEF +10%"
10901,109,1,ATK +15%
10902,109,2,ATK +15.5%
10903,109,3,ATK +16%
10904,109,4,ATK +16.5%
10905,109,5,ATK +17.5%
10906,109,6,ATK +18%
10907,109,7,ATK +18.5%
10908,109,8,ATK +19%
10909,109,9,ATK +19.5%
10910,109,10,ATK +20%
11001,110,1,Ki +2
11002,110,2,Ki +2 and ATK & DEF +0.5%
11003,110,3,Ki +2 and ATK & DEF +1%
11004,110,4,Ki +2 and ATK & DEF +1.5%
11005,110,5,Ki +2 and ATK & DEF +2.5%
11006,110,6,"Ki +2, ATK & DEF +3% and 
chance of performing a critical hit +1%"
11007,110,7,"Ki +2, ATK & DEF +3.5% and 
chance of performing a critical hit +2%"
11008,110,8,"Ki +2, ATK & DEF +4% and 
chance of performing a critical hit +3%"
11009,110,9,"Ki +2, ATK & DEF +4.5% and 
chance of performing a critical hit +4%"
11010,110,10,"Ki +2 and ATK, DEF & 
chance of performing a critical hit +5%"
11101,111,1,ATK +10%
11102,111,2,ATK +10.5%
11103,111,3,ATK +11%
11104,111,4,ATK +11.5%
11105,111,5,ATK +12.5%
11106,111,6,ATK +13%
11107,111,7,ATK +13.5%
11108,111,8,ATK +14%
11109,111,9,ATK +14.5%
11110,111,10,ATK +15%
11201,112,1,Ki +2
11202,112,2,Ki +2 and ATK & DEF +0.5%
11203,112,3,Ki +2 and ATK & DEF +1%
11204,112,4,Ki +2 and ATK & DEF +1.5%
11205,112,5,Ki +2 and ATK & DEF +2.5%
11206,112,6,Ki +2 and ATK & DEF +3%
11207,112,7,Ki +2 and ATK & DEF +3.5%
11208,112,8,Ki +2 and ATK & DEF +4%
11209,112,9,Ki +2 and ATK & DEF +4.5%
11210,112,10,Ki +2 and ATK & DEF +5%
11301,113,1,Recovers 3% HP
11302,113,2,Recovers 3.4% HP
11303,113,3,Recovers 3.8% HP
11304,113,4,Recovers 4.2% HP
11305,113,5,Recovers 5% HP
11306,113,6,Recovers 5.4% HP
11307,113,7,Recovers 5.8% HP
11308,113,8,Recovers 6.2% HP
11309,113,9,Recovers 6.6% HP
11310,113,10,Recovers 7% HP
11401,114,1,Ki +2
11402,114,2,Ki +2 and DEF +2%
11403,114,3,Ki +2 and DEF +4%
11404,114,4,Ki +2 and DEF +6%
11405,114,5,Ki +2 and DEF +10%
11406,114,6,Ki +2 and DEF +12%
11407,114,7,Ki +2 and DEF +14%
11408,114,8,Ki +2 and DEF +16%
11409,114,9,Ki +2 and DEF +18%
11410,114,10,Ki +2 and DEF +20%
11501,115,1,Ki +2
11502,115,2,Ki +2 and ATK +1%
11503,115,3,Ki +2 and ATK +2%
11504,115,4,Ki +2 and ATK +3%
11505,115,5,Ki +2 and ATK +5%
11506,115,6,Ki +2 and ATK +6%
11507,115,7,Ki +2 and ATK +7%
11508,115,8,Ki +2 and ATK +8%
11509,115,9,Ki +2 and ATK +9%
11510,115,10,Ki +3 and ATK +10%
11601,116,1,ATK +5% when performing a Super Attack
11602,116,2,ATK +5.5% when performing a Super Attack
11603,116,3,ATK +6% when performing a Super Attack
11604,116,4,ATK +6.5% when performing a Super Attack
11605,116,5,ATK +7.5% when performing a Super Attack
11606,116,6,ATK +8% when performing a Super Attack
11607,116,7,ATK +8.5% when performing a Super Attack
11608,116,8,ATK +9% when performing a Super Attack
11609,116,9,ATK +9.5% when performing a Super Attack
11610,116,10,ATK +10% when performing a Super Attack
11701,117,1,ATK +25%
11702,117,2,ATK +25% and DEF +1%
11703,117,3,ATK +25% and DEF +2%
11704,117,4,ATK +25% and DEF +3%
11705,117,5,ATK +25% and DEF +5%
11706,117,6,ATK +25% and DEF +6%
11707,117,7,ATK +25% and DEF +7%
11708,117,8,ATK +25% and DEF +8%
11709,117,9,ATK +25% and DEF +9%
11710,117,10,ATK +25% and DEF +10%
11801,118,1,Ki +2
11802,118,2,Ki +2 and ATK & DEF +0.5%
11803,118,3,Ki +2 and ATK & DEF +1%
11804,118,4,Ki +2 and ATK & DEF +1.5%
11805,118,5,Ki +2 and ATK & DEF +2.5%
11806,118,6,Ki +2 and ATK & DEF +3%
11807,118,7,Ki +2 and ATK & DEF +3.5%
11808,118,8,Ki +2 and ATK & DEF +4%
11809,118,9,Ki +2 and ATK & DEF +4.5%
11810,118,10,Ki +2 and ATK & DEF +5%
11901,119,1,ATK +10%
11902,119,2,ATK +10.5%
11903,119,3,ATK +11%
11904,119,4,ATK +11.5%
11905,119,5,ATK +12.5%
11906,119,6,ATK +13%
11907,119,7,ATK +13.5%
11908,119,8,ATK +14%
11909,119,9,ATK +14.5%
11910,119,10,ATK +15%
12001,120,1,Ki +2
12002,120,2,All enemies' DEF -1% and Ki +2
12003,120,3,All enemies' DEF -2% and Ki +2
12004,120,4,All enemies' DEF -3% and Ki +2
12005,120,5,All enemies' DEF -5% and Ki +2
12006,120,6,All enemies' DEF -6% and Ki +2
12007,120,7,All enemies' DEF -7% and Ki +2
12008,120,8,All enemies' DEF -8% and Ki +2
12009,120,9,All enemies' DEF -9% and Ki +2
12010,120,10,All enemies' DEF -10% and Ki +2
12101,121,1,ATK +20%
12102,121,2,ATK +20% and DEF +1%
12103,121,3,ATK +20% and DEF +2%
12104,121,4,ATK +20% and DEF +3%
12105,121,5,ATK +20% and DEF +5%
12106,121,6,ATK +20% and DEF +6%
12107,121,7,ATK +20% and DEF +7%
12108,121,8,ATK +20% and DEF +8%
12109,121,9,ATK +20% and DEF +9%
12110,121,10,ATK +20% and DEF +10%
12201,122,1,ATK +20%
12202,122,2,ATK +20.5%
12203,122,3,ATK +21%
12204,122,4,ATK +21.5%
12205,122,5,ATK +22.5%
12206,122,6,ATK +23%
12207,122,7,ATK +23.5%
12208,122,8,ATK +24%
12209,122,9,ATK +24.5%
12210,122,10,ATK +25%
12301,123,1,Ki +2
12302,123,2,Ki +2 and DEF +1%
12303,123,3,Ki +2 and DEF +2%
12304,123,4,Ki +2 and DEF +3%
12305,123,5,Ki +2 and DEF +5%
12306,123,6,Ki +2 and DEF +6%
12307,123,7,Ki +2 and DEF +7%
12308,123,8,Ki +2 and DEF +8%
12309,123,9,Ki +2 and DEF +9%
12310,123,10,Ki +3 and DEF +10%
12401,124,1,ATK +25%
12402,124,2,ATK +25% and DEF +1%
12403,124,3,ATK +25% and DEF +2%
12404,124,4,ATK +25% and DEF +3%
12405,124,5,ATK +25% and DEF +5%
12406,124,6,ATK +25% and DEF +6%
12407,124,7,ATK +25% and DEF +7%
12408,124,8,ATK +25% and DEF +8%
12409,124,9,ATK +25% and DEF +9%
12410,124,10,ATK +25% and DEF +10%
12501,125,1,ATK +10% when performing a Super Attack
12502,125,2,ATK +10.5% when performing a Super Attack
12503,125,3,ATK +11% when performing a Super Attack
12504,125,4,ATK +11.5% when performing a Super Attack
12505,125,5,ATK +12.5% when performing a Super Attack
12506,125,6,ATK +13% when performing a Super Attack
