id,z_battle_stage_id,enemy_name,enemy_nickname,enemy_resource_id,params,created_at,updated_at
77,62,Bardock,Dazzling Life Force,1014021,"{""lwf"":{""event_top_chara"":{""x"":-74,""y"":-40,""scale"":1.14},""anime_start"":{""x"":-74,""y"":-40,""scale"":1.14},""anime_end"":{""x"":66,""y"":-150,""scale"":1.14},""shadow"":{""x"":-272,""y"":676,""scale"":0.63},""start_chara"":{""x"":-4,""y"":-18,""scale"":1.15}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
78,63,Giant Ape Edition,Extreme Z-Battle,1023530,"{""lwf"":{""event_top_chara"":{""x"":-10,""y"":148,""scale"":0.92},""anime_start"":{""x"":-10,""y"":148,""scale"":0.92},""anime_end"":{""x"":-12,""y"":114,""scale"":0.92},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":-18,""scale"":1.12}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
79,64,Hit,Assassin's Ultimate Technique,1015671,"{""lwf"":{""event_top_chara"":{""x"":-140,""y"":62,""scale"":1.15},""anime_start"":{""x"":-140,""y"":62,""scale"":1.15},""anime_end"":{""x"":-140,""y"":62,""scale"":1.15},""shadow"":{""x"":-78,""y"":786,""scale"":0.66},""start_chara"":{""x"":-4,""y"":-22,""scale"":1.13}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
81,65,DRAGON BALL FighterZ Edition,Extreme Z-Battle,1023990,"{""lwf"":{""event_top_chara"":{""x"":-46,""y"":-72,""scale"":1.03},""anime_start"":{""x"":-46,""y"":-72,""scale"":1.03},""anime_end"":{""x"":-46,""y"":-72,""scale"":1.03},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-2,""y"":-18,""scale"":1.13}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
84,66,Dragon Ball Heroes Edition,Extreme Z-Battle,1023900,"{""lwf"":{""event_top_chara"":{""x"":4,""y"":110,""scale"":0.92},""anime_start"":{""x"":4,""y"":110,""scale"":0.92},""anime_end"":{""x"":4,""y"":110,""scale"":0.92},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":54,""scale"":1.13}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
85,67,Super Saiyan Trunks (Teen),Second Super Saiyan,1011721,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":-10,""scale"":0.95},""anime_start"":{""x"":0,""y"":-10,""scale"":0.95},""anime_end"":{""x"":130,""y"":-116,""scale"":0.95},""shadow"":{""x"":-248,""y"":678,""scale"":0.59},""start_chara"":{""x"":-8,""y"":-20,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
86,68,Super Saiyan Gohan (Future),Power to Face Despair,1013861,"{""lwf"":{""event_top_chara"":{""x"":-60,""y"":-62,""scale"":1.07},""anime_start"":{""x"":-60,""y"":-62,""scale"":1.07},""anime_end"":{""x"":64,""y"":-182,""scale"":1.07},""shadow"":{""x"":-294,""y"":620,""scale"":0.71},""start_chara"":{""x"":-8,""y"":-20,""scale"":1.13}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
87,69,Dragon Ball Fusions Edition,Extreme Z-Battle,1024180,"{""lwf"":{""event_top_chara"":{""x"":-24,""y"":-78,""scale"":0.93},""anime_start"":{""x"":-24,""y"":-78,""scale"":0.93},""anime_end"":{""x"":-24,""y"":-78,""scale"":0.93},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-4,""y"":-18,""scale"":1.13}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
88,70,Dragon Ball Fusions Edition 2,Extreme Z-Battle,1024190,"{""lwf"":{""event_top_chara"":{""x"":2,""y"":-48,""scale"":0.93},""anime_start"":{""x"":2,""y"":-48,""scale"":0.93},""anime_end"":{""x"":2,""y"":-90,""scale"":0.93},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-8,""y"":-14,""scale"":1.16}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
89,71,Trunks (Kid) & Goten (Kid),Budding Warriors,1011641,"{""lwf"":{""event_top_chara"":{""x"":-6,""y"":74,""scale"":0.82},""anime_start"":{""x"":-6,""y"":74,""scale"":0.82},""anime_end"":{""x"":-6,""y"":74,""scale"":0.82},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":-18,""scale"":1.12}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
90,72,Destined Rivals Saga 4,Extreme Z-Battle,1024420,"{""lwf"":{""event_top_chara"":{""x"":78,""y"":-154,""scale"":1.02},""anime_start"":{""x"":78,""y"":-154,""scale"":1.02},""anime_end"":{""x"":78,""y"":-194,""scale"":1.02},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-10,""y"":-18,""scale"":1.15}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
91,73,Super Saiyan 4 Gogeta vs. Omega Shenron,Extreme Z-Battle,1024480,"{""lwf"":{""event_top_chara"":{""x"":-74,""y"":-18,""scale"":1.06},""anime_start"":{""x"":-74,""y"":-18,""scale"":1.06},""anime_end"":{""x"":-74,""y"":-62,""scale"":1.06},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":-18,""scale"":1.15}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
92,74,Super Saiyan Goku (Angel) & Super Saiyan Vegeta (Angel),Fused Fighting Force,1024580,"{""lwf"":{""event_top_chara"":{""x"":-46,""y"":-4,""scale"":0.88},""anime_start"":{""x"":-46,""y"":-4,""scale"":0.88},""anime_end"":{""x"":-46,""y"":-68,""scale"":0.88},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-8,""y"":-14,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
94,75,Super Saiyan Goku & Super Saiyan Vegeta,Fused Super Power,1024570,"{""lwf"":{""event_top_chara"":{""x"":-16,""y"":6,""scale"":0.87},""anime_start"":{""x"":-16,""y"":6,""scale"":0.87},""anime_end"":{""x"":-16,""y"":-70,""scale"":0.87},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-10,""y"":-18,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
95,76,Destined Rivals Saga 5,Extreme Z-Battle,1024610,"{""lwf"":{""event_top_chara"":{""x"":-40,""y"":-74,""scale"":0.93},""anime_start"":{""x"":-40,""y"":-74,""scale"":0.93},""anime_end"":{""x"":-40,""y"":-128,""scale"":0.93},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-8,""y"":-18,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
96,77,Super Saiyan God SS Vegeta,Observance of Pride,1024620,"{""lwf"":{""event_top_chara"":{""x"":-6,""y"":204,""scale"":0.74},""anime_start"":{""x"":-6,""y"":204,""scale"":0.74},""anime_end"":{""x"":122,""y"":86,""scale"":0.74},""shadow"":{""x"":-172,""y"":1070,""scale"":0.46},""start_chara"":{""x"":-4,""y"":-14,""scale"":1.17}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
97,78,Dokkan All-Stars,Extreme Z-Battle,1024470,"{""lwf"":{""event_top_chara"":{""x"":36,""y"":-82,""scale"":0.92},""anime_start"":{""x"":36,""y"":-82,""scale"":0.92},""anime_end"":{""x"":36,""y"":-120,""scale"":0.92},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":-14,""scale"":1.15}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
98,79,Turles,Explosive Evolution,1024760,"{""lwf"":{""event_top_chara"":{""x"":10,""y"":68,""scale"":1.0},""anime_start"":{""x"":10,""y"":68,""scale"":1.0},""anime_end"":{""x"":146,""y"":-60,""scale"":1.0},""shadow"":{""x"":-168,""y"":732,""scale"":0.67},""start_chara"":{""x"":-8,""y"":-16,""scale"":1.12}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
99,80,Ultimate Gohan,Hidden Power Unleashed,1011801,"{""lwf"":{""event_top_chara"":{""x"":4,""y"":-156,""scale"":1.17},""anime_start"":{""x"":4,""y"":-156,""scale"":1.17},""anime_end"":{""x"":166,""y"":-248,""scale"":1.17},""shadow"":{""x"":-130,""y"":382,""scale"":0.81},""start_chara"":{""x"":-2,""y"":-14,""scale"":1.15}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
101,81,Cell (Perfect Form) & Cell Jr.,The Deadly Cell Games,1025010,"{""lwf"":{""event_top_chara"":{""x"":36,""y"":-360,""scale"":1.46},""anime_start"":{""x"":36,""y"":-360,""scale"":1.46},""anime_end"":{""x"":36,""y"":-360,""scale"":1.46},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-8,""y"":-14,""scale"":1.16}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
102,82,Golden Frieza (Angel),Emperor's True Splendor,1012031,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":-58,""scale"":0.98},""anime_start"":{""x"":0,""y"":-58,""scale"":0.98},""anime_end"":{""x"":128,""y"":-162,""scale"":0.98},""shadow"":{""x"":-116,""y"":558,""scale"":0.61},""start_chara"":{""x"":-12,""y"":-28,""scale"":0.94}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
103,83,Blue Fusion and Rose-Colored Super Saiyan,Extreme Z-Battle,1025480,"{""lwf"":{""event_top_chara"":{""x"":-80,""y"":90,""scale"":0.77},""anime_start"":{""x"":-80,""y"":90,""scale"":0.77},""anime_end"":{""x"":-80,""y"":52,""scale"":0.77},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":-16,""scale"":1.15}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
104,84,Trunks (Teen) (Future) & Mai (Future),Hopes and Promises for the Future,1014081,"{""lwf"":{""event_top_chara"":{""x"":-36,""y"":86,""scale"":0.74},""anime_start"":{""x"":-36,""y"":86,""scale"":0.74},""anime_end"":{""x"":-36,""y"":52,""scale"":0.74},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-10,""y"":-22,""scale"":0.9}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
105,85,Goku Black (Super Saiyan Rosé) & Zamasu,Merciless Condemnation,1025681,"{""lwf"":{""event_top_chara"":{""x"":12,""y"":226,""scale"":0.7},""anime_start"":{""x"":12,""y"":226,""scale"":0.7},""anime_end"":{""x"":12,""y"":176,""scale"":0.7},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-8,""y"":6,""scale"":0.88}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
106,86,Super Full Power Saiyan 4 Goku,Hope-Filled Strike,1014131,"{""lwf"":{""event_top_chara"":{""x"":-46,""y"":150,""scale"":0.67},""anime_start"":{""x"":-46,""y"":150,""scale"":0.67},""anime_end"":{""x"":80,""y"":44,""scale"":0.67},""shadow"":{""x"":-244,""y"":964,""scale"":0.4},""start_chara"":{""x"":-2,""y"":-10,""scale"":0.96}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
108,87,Goku (GT) & Pan (GT) & Trunks (GT),Endless Adventure,1025701,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":154,""scale"":0.73},""anime_start"":{""x"":0,""y"":154,""scale"":0.73},""anime_end"":{""x"":0,""y"":112,""scale"":0.73},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":2,""y"":-16,""scale"":0.92}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
109,88,Heroines Edition 2,Extreme Z-Battle,1025880,"{""lwf"":{""event_top_chara"":{""x"":18,""y"":2,""scale"":0.92},""anime_start"":{""x"":18,""y"":2,""scale"":0.92},""anime_end"":{""x"":18,""y"":-34,""scale"":0.92},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-8,""y"":-16,""scale"":0.96}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
110,89,Goku,Pinnacle of Fury,1025890,"{""lwf"":{""event_top_chara"":{""x"":-2,""y"":22,""scale"":1.02},""anime_start"":{""x"":-2,""y"":22,""scale"":1.02},""anime_end"":{""x"":162,""y"":-86,""scale"":1.02},""shadow"":{""x"":-96,""y"":650,""scale"":0.77},""start_chara"":{""x"":-10,""y"":-8,""scale"":1.01}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
111,90,Frieza (Full Power),Last-Ditch Attack,1015571,"{""lwf"":{""event_top_chara"":{""x"":-4,""y"":256,""scale"":0.58},""anime_start"":{""x"":-4,""y"":256,""scale"":0.58},""anime_end"":{""x"":186,""y"":148,""scale"":0.58},""shadow"":{""x"":-106,""y"":1120,""scale"":0.36},""start_chara"":{""x"":-8,""y"":-12,""scale"":0.89}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
112,91,Metal Cooler,Fusion with the Big Gete Star,1015371,"{""lwf"":{""event_top_chara"":{""x"":22,""y"":-296,""scale"":1.22},""anime_start"":{""x"":22,""y"":-296,""scale"":1.22},""anime_end"":{""x"":164,""y"":-378,""scale"":1.22},""shadow"":{""x"":-74,""y"":96,""scale"":0.85},""start_chara"":{""x"":-6,""y"":-44,""scale"":1.0}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
113,92,Cooler,Extreme Ultimate Power,1026010,"{""lwf"":{""event_top_chara"":{""x"":-8,""y"":-172,""scale"":1.15},""anime_start"":{""x"":-8,""y"":-172,""scale"":1.15},""anime_end"":{""x"":122,""y"":-278,""scale"":1.15},""shadow"":{""x"":-156,""y"":306,""scale"":0.86},""start_chara"":{""x"":-14,""y"":-14,""scale"":0.99}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
114,93,Goku (Youth),All-Or-Nothing Punch,1016571,"{""lwf"":{""event_top_chara"":{""x"":-66,""y"":266,""scale"":0.49},""anime_start"":{""x"":-66,""y"":266,""scale"":0.49},""anime_end"":{""x"":84,""y"":150,""scale"":0.49},""shadow"":{""x"":-242,""y"":1108,""scale"":0.31},""start_chara"":{""x"":-6,""y"":-2,""scale"":0.91}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
94000,94,Super Saiyan 3 Bardock,Mark of Saiyan Strength,1011781,"{""lwf"":{""event_top_chara"":{""x"":-58,""y"":96,""scale"":0.73},""anime_start"":{""x"":-58,""y"":96,""scale"":0.73},""anime_end"":{""x"":96,""y"":-32,""scale"":0.73},""shadow"":{""x"":-332,""y"":784,""scale"":0.58},""start_chara"":{""x"":-8,""y"":-38,""scale"":0.96}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
95000,95,Dragon Ball Heroes Edition 2,Extreme Z-Battle,1026300,"{""lwf"":{""event_top_chara"":{""x"":-4,""y"":100,""scale"":0.89},""anime_start"":{""x"":-4,""y"":100,""scale"":0.89},""anime_end"":{""x"":-4,""y"":40,""scale"":0.89},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":52,""y"":-6,""scale"":1.22}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
96000,96,Full Power Boujack (Galactic Warrior),Galaxy-Threatening Invasion,1012161,"{""lwf"":{""event_top_chara"":{""x"":2,""y"":-360,""scale"":1.44},""anime_start"":{""x"":2,""y"":-360,""scale"":1.44},""anime_end"":{""x"":148,""y"":-450,""scale"":1.44},""shadow"":{""x"":-140,""y"":40,""scale"":0.98},""start_chara"":{""x"":-8,""y"":-14,""scale"":1.08}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
97000,97,Super Saiyan Gogeta,Transcendent Fusion,1026450,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":130,""scale"":0.87},""anime_start"":{""x"":0,""y"":130,""scale"":0.87},""anime_end"":{""x"":136,""y"":40,""scale"":0.87},""shadow"":{""x"":-96,""y"":914,""scale"":0.61},""start_chara"":{""x"":-12,""y"":0,""scale"":1.03}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
98000,98,Super Saiyan Broly,Endless Evolution of the Warrior Race,1026460,"{""lwf"":{""event_top_chara"":{""x"":46,""y"":166,""scale"":0.89},""anime_start"":{""x"":46,""y"":166,""scale"":0.89},""anime_end"":{""x"":200,""y"":44,""scale"":0.89},""shadow"":{""x"":-68,""y"":964,""scale"":0.74},""start_chara"":{""x"":22,""y"":4,""scale"":1.12}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
99000,99,Divine Battle Edition,Extreme Z-Battle,1026650,"{""lwf"":{""event_top_chara"":{""x"":-6,""y"":-28,""scale"":0.87},""anime_start"":{""x"":-6,""y"":-28,""scale"":0.87},""anime_end"":{""x"":-6,""y"":-78,""scale"":0.87},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-8,""y"":-14,""scale"":0.9}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
100000,100,Super Saiyan Gohan (Youth),Awakened True Power,1026660,"{""lwf"":{""event_top_chara"":{""x"":-110,""y"":46,""scale"":0.93},""anime_start"":{""x"":-110,""y"":46,""scale"":0.93},""anime_end"":{""x"":36,""y"":-32,""scale"":0.93},""shadow"":{""x"":-388,""y"":702,""scale"":0.75},""start_chara"":{""x"":-8,""y"":-12,""scale"":0.95}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
101000,101,Cell (Perfect Form),The True Value of Perfect Form,1026670,"{""lwf"":{""event_top_chara"":{""x"":224,""y"":-22,""scale"":1.36},""anime_start"":{""x"":224,""y"":-22,""scale"":1.36},""anime_end"":{""x"":372,""y"":-124,""scale"":1.36},""shadow"":{""x"":312,""y"":482,""scale"":1.02},""start_chara"":{""x"":6,""y"":32,""scale"":1.06}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
102000,102,Super Saiyan God Goku,Legend Reborn,1018251,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":-204,""scale"":1.18},""anime_start"":{""x"":0,""y"":-204,""scale"":1.18},""anime_end"":{""x"":118,""y"":-298,""scale"":1.18},""shadow"":{""x"":-156,""y"":174,""scale"":0.87},""start_chara"":{""x"":-6,""y"":-4,""scale"":1.0}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
103000,103,Super Vegito,Limitless Radiance,1012381,"{""lwf"":{""event_top_chara"":{""x"":-2,""y"":-14,""scale"":0.77},""anime_start"":{""x"":-2,""y"":-14,""scale"":0.77},""anime_end"":{""x"":106,""y"":-124,""scale"":0.77},""shadow"":{""x"":-106,""y"":662,""scale"":0.54},""start_chara"":{""x"":-8,""y"":-18,""scale"":0.87}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
104000,104,Buu (Super),Shocking Absorption Ability,1015051,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":-270,""scale"":1.13},""anime_start"":{""x"":0,""y"":-270,""scale"":1.13},""anime_end"":{""x"":126,""y"":-364,""scale"":1.13},""shadow"":{""x"":-128,""y"":118,""scale"":0.78},""start_chara"":{""x"":0,""y"":-14,""scale"":0.93}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
105000,105,Super Saiyan Goku,Miracle-Making Super Saiyan,1018491,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":-120,""scale"":1.04},""anime_start"":{""x"":0,""y"":-120,""scale"":1.04},""anime_end"":{""x"":132,""y"":-226,""scale"":1.04},""shadow"":{""x"":-142,""y"":394,""scale"":0.73},""start_chara"":{""x"":-10,""y"":0,""scale"":0.96}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
106000,106,Super Saiyan God SS Goku (Kaioken),Final Super Power,1018541,"{""lwf"":{""event_top_chara"":{""x"":-82,""y"":-104,""scale"":0.99},""anime_start"":{""x"":-82,""y"":-104,""scale"":0.99},""anime_end"":{""x"":58,""y"":-208,""scale"":0.99},""shadow"":{""x"":-268,""y"":484,""scale"":0.67},""start_chara"":{""x"":-10,""y"":-12,""scale"":0.97}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
107000,107,Gogeta,Ultimate and Supreme Fusion,1026960,"{""lwf"":{""event_top_chara"":{""x"":-6,""y"":-218,""scale"":1.31},""anime_start"":{""x"":-6,""y"":-218,""scale"":1.31},""anime_end"":{""x"":152,""y"":-302,""scale"":1.31},""shadow"":{""x"":-138,""y"":128,""scale"":1.03},""start_chara"":{""x"":-10,""y"":-12,""scale"":1.08}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
108000,108,Vegito,Ultimate and Invincible Fusion,1026970,"{""lwf"":{""event_top_chara"":{""x"":-4,""y"":-210,""scale"":1.24},""anime_start"":{""x"":-4,""y"":-210,""scale"":1.24},""anime_end"":{""x"":140,""y"":-296,""scale"":1.24},""shadow"":{""x"":-180,""y"":130,""scale"":0.99},""start_chara"":{""x"":-6,""y"":-8,""scale"":1.05}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
109000,109,Beerus & Whis,Global Harmony Through Destruction,1027090,"{""lwf"":{""event_top_chara"":{""x"":-22,""y"":-268,""scale"":1.2},""anime_start"":{""x"":-22,""y"":-268,""scale"":1.2},""anime_end"":{""x"":-22,""y"":-296,""scale"":1.2},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-12,""y"":-4,""scale"":0.97}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
110000,110,Android #17,Last-Ditch Battle,1014911,"{""lwf"":{""event_top_chara"":{""x"":36,""y"":68,""scale"":0.71},""anime_start"":{""x"":36,""y"":68,""scale"":0.71},""anime_end"":{""x"":180,""y"":-36,""scale"":0.71},""shadow"":{""x"":-54,""y"":824,""scale"":0.49},""start_chara"":{""x"":-6,""y"":-22,""scale"":0.84}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
111000,111,Super Saiyan 2 Caulifla & Super Saiyan 2 Kale,Two Makes the Strongest of All Universes,1016841,"{""lwf"":{""event_top_chara"":{""x"":-24,""y"":104,""scale"":0.86},""anime_start"":{""x"":-24,""y"":104,""scale"":0.86},""anime_end"":{""x"":-24,""y"":44,""scale"":0.86},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-20,""y"":16,""scale"":0.91}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
112000,112,Piccolo,Kami and Demon King United,1027260,"{""lwf"":{""event_top_chara"":{""x"":10,""y"":-242,""scale"":1.68},""anime_start"":{""x"":10,""y"":-242,""scale"":1.68},""anime_end"":{""x"":144,""y"":-330,""scale"":1.68},""shadow"":{""x"":-96,""y"":210,""scale"":1.24},""start_chara"":{""x"":4,""y"":-4,""scale"":1.31}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
113000,113,"Super Saiyan Gohan (Teen) & 
Super Saiyan Goten (Kid)",Miracle-Calling Clash,1027590,"{""lwf"":{""event_top_chara"":{""x"":-14,""y"":-128,""scale"":0.98},""anime_start"":{""x"":-14,""y"":-128,""scale"":0.98},""anime_end"":{""x"":-14,""y"":-184,""scale"":0.98},""shadow"":{""x"":5000,""y"":5000,""scale"":0.0},""start_chara"":{""x"":-8,""y"":2,""scale"":0.91}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
114000,114,Beerus,Hot-Blooded God of Destruction,1019341,"{""lwf"":{""event_top_chara"":{""x"":-16,""y"":-8,""scale"":0.98},""anime_start"":{""x"":-16,""y"":-8,""scale"":0.98},""anime_end"":{""x"":112,""y"":-128,""scale"":0.98},""shadow"":{""x"":-208,""y"":588,""scale"":0.76},""start_chara"":{""x"":-24,""y"":2,""scale"":1.03}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
115000,115,GT Edition,Extreme Z-Battle,1028081,"{""lwf"":{""event_top_chara"":{""x"":12,""y"":-26,""scale"":0.93},""anime_start"":{""x"":12,""y"":-26,""scale"":0.93},""anime_end"":{""x"":12,""y"":-78,""scale"":0.93},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":6,""y"":6,""scale"":0.83}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
116000,116,Super Saiyan Vegeta,Limitless Combat Power,1016511,"{""lwf"":{""event_top_chara"":{""x"":-4,""y"":-24,""scale"":0.87},""anime_start"":{""x"":-4,""y"":-24,""scale"":0.87},""anime_end"":{""x"":112,""y"":-124,""scale"":0.87},""shadow"":{""x"":-142,""y"":620,""scale"":0.56},""start_chara"":{""x"":-6,""y"":-8,""scale"":1.0}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
117000,117,Heroines Edition 3,Extreme Z-Battle,1028181,"{""lwf"":{""event_top_chara"":{""x"":80,""y"":-106,""scale"":0.78},""anime_start"":{""x"":80,""y"":-106,""scale"":0.78},""anime_end"":{""x"":80,""y"":-138,""scale"":0.78},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-10,""y"":-18,""scale"":0.87}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
118000,118,Super Baby 2 (Giant Ape),Ultimate Malign Being,1016401,"{""lwf"":{""event_top_chara"":{""x"":-24,""y"":-106,""scale"":0.92},""anime_start"":{""x"":-24,""y"":-106,""scale"":0.92},""anime_end"":{""x"":134,""y"":-210,""scale"":0.92},""shadow"":{""x"":-196,""y"":440,""scale"":0.69},""start_chara"":{""x"":-12,""y"":-18,""scale"":0.94}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
119000,119,Trunks (Teen) (Future),Resilient Will to Protect the Future,1028241,"{""lwf"":{""event_top_chara"":{""x"":-184,""y"":-176,""scale"":1.16},""anime_start"":{""x"":-184,""y"":-176,""scale"":1.16},""anime_end"":{""x"":-66,""y"":-256,""scale"":1.16},""shadow"":{""x"":-454,""y"":386,""scale"":0.78},""start_chara"":{""x"":-92,""y"":-10,""scale"":1.03}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
120000,120,Zamasu,True Power of a God,1028251,"{""lwf"":{""event_top_chara"":{""x"":-10,""y"":-234,""scale"":1.35},""anime_start"":{""x"":-10,""y"":-234,""scale"":1.35},""anime_end"":{""x"":120,""y"":-332,""scale"":1.35},""shadow"":{""x"":-150,""y"":260,""scale"":0.91},""start_chara"":{""x"":-18,""y"":4,""scale"":1.04}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
121000,121,Gohan (Future),Heroic Warrior,1028261,"{""lwf"":{""event_top_chara"":{""x"":6,""y"":86,""scale"":0.78},""anime_start"":{""x"":6,""y"":86,""scale"":0.78},""anime_end"":{""x"":140,""y"":-30,""scale"":0.78},""shadow"":{""x"":-114,""y"":792,""scale"":0.54},""start_chara"":{""x"":0,""y"":-18,""scale"":0.96}}}",2024-07-08 11:02:42.432280,2024-07-08 11:02:42.432280
