id,name,description
101402,Dazzling Life Force,"Super PHY Type Ki +4 and HP, ATK & DEF +100%; 
Extreme PHY Type Ki +2 and HP, ATK & DEF +70%"
101403,Return to the Future,"""Future Saga"" Category 
Ki +2 and HP, ATK & DEF +30%"
101404,A Gift From the Past,"""Future Saga"" Category 
Ki +2 and HP, ATK & DEF +40%"
101405,Alternate Ending,"""Future Saga"" Category 
Ki +3 and HP, ATK & DEF +70%"
101406,Proudest Moment,"""Peppy Gals"" or 
""Transformation Boost"" Category 
Ki +3 and HP, ATK & DEF +120%"
101408,Hopes and Promises for the Future,"""Time Travelers"" Category Ki +4 and 
HP, ATK & DEF +130%; or Super STR Type 
Ki +4 and HP, ATK & DEF +100%"
101409,Instinct of the Warrior Race,"Super Class Ki +2 and HP, ATK & DEF +70%"
101410,Innocent Protectors,PHY Type Ki +1 and HP & ATK +25%
101411,Mission Complete,"PHY Type Ki +2 and HP, ATK & DEF +30%"
101412,Transcendental Saiyan Power,"""Full Power"" Category Ki +2 and 
HP, ATK & DEF +120%; or Super TEQ Type 
Ki +2 and HP, ATK & DEF +70%"
101413,Hope-Filled Strike,"""Full Power"" Category Ki +3 and 
HP, ATK & DEF +150%; or Super TEQ Type 
Ki +3 and HP, ATK & DEF +90%"
101414,Soaring Heart,"INT and STR Type Ki +3 and HP, ATK & DEF +60%"
101415,Life of the Party,"TEQ & STR Types 
Ki +3 and HP, ATK & DEF +60%"
101416,The Love to Light the Future,"AGL & INT Types 
Ki +3 and HP, ATK & DEF +60%"
101417,Casual Refreshment,"TEQ & PHY Types 
Ki +3 and HP, ATK & DEF +60%"
101418,Vow of Happiness,"STR & PHY Types 
Ki +3 and HP, ATK & DEF +70%"
101419,Immaculately Innocent Approach,"INT and PHY Type 
Ki +3 and HP, ATK & DEF +70%"
101420,Song of Love and Victory,"""Peppy Gals"" Category 
Ki +3 and HP, ATK & DEF +100%"
101421,Apex of Supreme Saiyan Power,"""Goku's Family"" Category Ki +3, 
HP & ATK +170% and DEF +130%; or 
Super AGL Type Ki +3 and HP, ATK & DEF +120%"
101422,Unrivaled Saiyan's Peak,"""Vegeta's Family"" Category Ki +3, 
HP +130% and ATK & DEF +170%; or 
Super STR Type Ki +3 and HP, ATK & DEF +120%"
101425,Perfect Assassination,"AGL Type Ki +2 and HP, ATK & DEF +50%"
101426,Warning From the Future,"Extreme STR Type Ki +2 and HP, ATK & DEF +70%"
101427,Shining-Gold Justice,"STR Type Ki +2 and HP, ATK & DEF +50%"
101428,Mischievous Curiosity,"PHY Type Ki +2 and HP, ATK & DEF +50%"
101429,Fused Techniques,"AGL Type Ki +2 and HP, ATK & DEF +30%"
101430,Resurrection for Revenge,"INT Type Ki +2 and HP, ATK & DEF +30%"
101431,Resurrection for Retaliation,"PHY Type Ki +2 and HP, ATK & DEF +30%"
101432,Perfect Chance for Revenge,"Extreme PHY Type Ki +2 
and HP, ATK & DEF +70%"
101433,Thundering Wrath from Hell,"Extreme PHY Type 
Ki +2 and HP, ATK & DEF +90%"
101434,Rematch Between Old Foes,"Extreme INT Type Ki +2 
and HP, ATK & DEF +70%"
101435,Roaring Hatred from Hell,"Extreme INT Type Ki +2 
and HP, ATK & DEF +90%"
101436,Fearless Saiyan,"Super PHY Type Ki +2 and HP, ATK & DEF +70%"
101437,Determined to Fight,"Super PHY Type Ki +2 and HP, ATK & DEF +90%"
101438,Fierce Warm-Up,"Extreme STR Type Ki +2 and HP, ATK & DEF +70%"
101439,Catastrophic Rage,"Extreme STR Type Ki +2 and HP, ATK & DEF +90%"
101440,Self-Assured Victory Declaration,"All Types Ki +3 and HP, ATK & DEF +30%"
101443,Introduced to Humiliation and Despair,"All Types Ki +3 and HP, ATK & DEF +30%"
101446,Shopping with Dad,"AGL & TEQ Types 
Ki +3 and HP, ATK & DEF +70%"
101447,Overwhelming Army,"Extreme Class Ki +3 and 
HP, ATK & DEF +70%"
101448,Trusted by Friends,"Super STR Type Ki +2 
and HP, ATK & DEF +70%"
101449,Victory Clincher,"Super STR Type Ki +2 
and HP, ATK & DEF +90%"
101450,Courage to the Max!,"All Types Ki +3 and HP, ATK & DEF +100%"
101451,Unusual Evolution,"Extreme AGL Type Ki +3 and 
HP, ATK & DEF +100%"
101453,Saiyan Outcast,"""Movie Bosses"" Category 
Ki +1 and HP, ATK & DEF +30%"
101463,Conflicting Mind,"""Androids"" Category 
Ki +1 and HP, ATK & DEF +30%"
101464,Good Versus Evil,"""Androids"" Category 
Ki +2 and HP, ATK & DEF +50%"
101465,Ravenous Appetite,"""Androids"" Category 
Ki +2 and HP, ATK & DEF +120%"
101466,Predatory Urge,"""Androids"" Category 
Ki +3 and HP, ATK & DEF +150%"
101467,A Warrior in His Homeland,AGL Type Ki +1 and HP & ATK +25%
101468,Battle as a Namekian,"AGL Type Ki +2 and HP, ATK & DEF +30%"
101470,Heated Final Phase,"""Universe 11"" Category 
Ki +2 and HP, ATK & DEF +130%; or 
""Universe Survival Saga"" Category 
Ki +2 and HP, ATK & DEF +100%"
101471,Rapid Growth,"INT Type Ki +2 and HP, ATK & DEF +70%"
101472,A New Destination,"All Types Ki +2 and HP, ATK & DEF +50%"
101473,Resurrection Amid Mayhem,"Super TEQ Type Ki +2 and 
HP, ATK & DEF +70%"
101474,New Form and Resolve,"Super TEQ Type Ki +2 and 
HP, ATK & DEF +90%"
101476,Boiling Power,"Super Class Ki +3 and HP, ATK & DEF +120%"
101481,The Terror of Universe's Most Malevolent,"Extreme Class Ki +2 and HP, ATK & DEF +100%"
101482,Glacial Prestige,"Extreme Class Ki +3 and HP, ATK & DEF +120%"
101490,A Dream to Be Fulfilled,"""Androids"" Category Ki +2, 
HP & ATK +140% and DEF +100%; 
or Super PHY Type Ki +2 and 
HP, ATK & DEF +70%"
101491,Last-Ditch Battle,"""Androids"" Category Ki +3, 
HP & ATK +170% and DEF +130%; 
or Super PHY Type Ki +3 and 
HP, ATK & DEF +90%"
101492,Bloodcurdling Message,"Extreme PHY Type Ki +2 and HP, ATK & DEF +70%; 
Super PHY Type Ki +1 and HP, ATK & DEF +50%"
101493,The Final Battle Begins,"Extreme PHY Type Ki +3 and HP, ATK & DEF +90%; 
Super PHY Type Ki +2 and HP, ATK & DEF +60%"
101494,The Deadly Cell Games,"Extreme PHY Type Ki +4 and HP, ATK & DEF +100%; 
Super PHY Type Ki +2 and HP, ATK & DEF +70%"
101495,The Ultimate Final Combo,"""Representatives of Universe 7"" Category 
Ki +2 and HP, ATK & DEF +130%; or 
TEQ Type Ki +2 and HP, ATK & DEF +70%"
101496,End of an Old Grudge,"""Representatives of Universe 7"" Category 
Ki +3 and HP, ATK & DEF +150%; or 
TEQ Type Ki +3 and HP, ATK & DEF +80%"
101497,Miraculous Outcome,"""Representatives of Universe 7"" Category 
Ki +3 and HP, ATK & DEF +177%; or 
TEQ Type Ki +3 and HP, ATK & DEF +90%"
101498,Fury and Battle Instinct,"""Movie Bosses"" Category 
Ki +2 and HP, ATK & DEF +50%"
101499,Saiyans' Limitless Potential,"Extreme INT Type Ki +4 and HP, ATK & DEF +120%"
101500,Roar of Rage,"Super INT Type 
Ki +4 and HP, ATK & DEF +120%"
101501,Rigorous Training,"""Pure Saiyans"" Category 
Ki +2 and HP, ATK & DEF +30%"
101502,Confident Deployment,"""Pure Saiyans"" Category 
Ki +2 and HP, ATK & DEF +40%"
101503,Awakened Saiyan Blood,"""Pure Saiyans"" Category 
Ki +3 and HP, ATK & DEF +70%"
101504,Evil Majin's Emergence,"""Transformation Boost"" Category 
Ki +2 and HP, ATK & DEF +120%; or 
Extreme STR Type Ki +2 and HP, ATK & DEF +70%"
101505,Shocking Absorption Ability,"""Transformation Boost"" Category 
Ki +3 and HP, ATK & DEF +150%; or 
Extreme STR Type Ki +3 and HP, ATK & DEF +90%"
101509,The Ultimate Champion Heading into Battle,"Super INT Type Ki +2 and HP, ATK & DEF +70%"
101510,Universe's Bravest,"Super INT Type Ki +2 and HP, ATK & DEF +90%"
101511,Wrathful Eruption,"STR Type Ki +3 and HP, ATK & DEF +70%"
101513,Pursuing Perfection,"Extreme TEQ Type 
Ki +4 and HP, ATK & DEF +120%"
101514,All-Out Focus,"Super TEQ Type 
Ki +4 and HP, ATK & DEF +120%"
101515,Saiyan Led by Fate,"Super Class Ki +2 and HP, ATK & DEF +100%"
101516,Hyena's Territory,"""Joined Forces"" Category 
Ki +2 and HP, ATK & DEF +50%"
101517,Parade of Bandits,"""Joined Forces"" Category 
Ki +2 and HP, ATK & DEF +70%"
101518,Lupine Awakening,"""Joined Forces"" Category 
Ki +3 and HP, ATK & DEF +100%"
101519,Defending the Sanctuary,"""Realm of Gods"" Category 
Ki +2 and HP, ATK & DEF +80%"
101520,Watchers of the Cosmos,"""Realm of Gods"" Category 
Ki +3 and HP, ATK & DEF +50%"
101521,Evolution to Match Strength,"Extreme STR Type 
Ki +4 and HP, ATK & DEF +120%"
101522,Warrior Race's Resolve,"Super STR Type 
Ki +4 and HP, ATK & DEF +120%"
101523,Victorious Smile,"Super AGL Type 
Ki +4 and HP, ATK & DEF +120%"
101524,Fierce Focused Attack,"Extreme AGL Type 
Ki +4 and HP, ATK & DEF +120%"
101525,Dimension-Breaking Roar,"Extreme PHY Type 
Ki +4 and HP, ATK & DEF +120%"
101526,Power of the Legendary Sword,"Super PHY Type 
Ki +4 and HP, ATK & DEF +120%"
101527,An Absurd Plan,"""Fusion"" Category Ki +2 and 
HP, ATK & DEF +30%"
101528,Quick-Witted Strategy,STR Type ATK +30% per STR Ki Sphere obtained
101529,A Shot at Victory,STR Type ATK +33% per STR Ki Sphere obtained
101530,No-Holds-Barred Battle,TEQ Type ATK +30% per TEQ Ki Sphere obtained
101531,Burning Hot Tenacity,TEQ Type ATK +33% per TEQ Ki Sphere obtained
101532,Merciless Buckshot,"Extreme AGL Type Ki +2 and HP, ATK & DEF +40%"
101535,Gurumes Warrioress,"Extreme INT Type Ki +2 and 
HP, ATK & DEF +40%"
101536,Return of the Universe's Strongest,"""Wicked Bloodline"" Category 
Ki +2 and HP, ATK & DEF +140%; or 
Extreme AGL Type Ki +2 and HP, ATK & DEF +70%"
101537,Fusion with the Big Gete Star,"""Wicked Bloodline"" Category 
Ki +3 and HP, ATK & DEF +170%; or 
Extreme AGL Type Ki +3 and HP, ATK & DEF +90%"
101540,Desperate God of Destruction,"""Representatives of Universe 7"" Category 
Ki +2 and HP, ATK & DEF +30%"
101541,Fictitious Universe's Strongest,"""Representatives of Universe 7"" Category 
Ki +3 and HP, ATK & DEF +50%"
101542,Charming Girl's Dance,"""Peppy Gals"" Category 
Ki +3 and HP, ATK & DEF +88%"
101543,To a World of Excitement,"""Dragon Ball Seekers"" Category 
Ki +2 and HP, ATK & DEF +30%"
101545,Revived and Enhanced Strength,"""Wicked Bloodline"" Category 
Ki +2 and HP, ATK & DEF +30%"
101546,The Definition of Ultimate Power,"""Time Travelers"" Category 
Ki +2 and HP, ATK & DEF +120%; or 
Extreme INT Type Ki +2 and HP, ATK & DEF +70%"
101547,Epitome of Sublime Beauty,"""Time Travelers"" Category 
Ki +3 and HP, ATK & DEF +150%; or 
Extreme INT Type Ki +3 and HP, ATK & DEF +90%"
101549,Super Warrior on a Whole Other Level,"Super STR Type Ki +3 and 
HP, ATK & DEF +70%"
101550,Conviction in Solitude,"Super PHY Type Ki +3 and 
HP, ATK & DEF +70%"
101551,Power of Time Unleashed,"Super TEQ Type Ki +3 and 
HP, ATK & DEF +70%"
101552,Resurgence of Evil,"Extreme STR Type Ki +3 and 
HP, ATK & DEF +70%"
101553,Surging Magic Power and Ambition,"Extreme PHY Type Ki +3 and 
HP, ATK & DEF +70%"
101554,Invasion of the Dark Empire,"Extreme INT Type Ki +3 and 
HP, ATK & DEF +70%"
101555,Seal of the Demon Realm,"Extreme AGL Type Ki +3 and 
HP, ATK & DEF +70%"
101556,Desperate Full Power,"""Full Power"" Category 
Ki +3 and HP, ATK & DEF +100%; or 
Extreme STR Type Ki +3 and HP, ATK & DEF +90%"
101557,Last-Ditch Attack,"""Full Power"" Category 
Ki +4 and HP, ATK & DEF +130%; or 
Extreme STR Type Ki +4 and HP, ATK & DEF +100%"
101558,Recently-Acquired Flying Prowess,"""Majin Buu Saga"" Category 
Ki +2 and HP, ATK & DEF +30%"
101559,Brave Pair,"""Majin Buu Saga"" Category 
Ki +3 and HP, ATK & DEF +50%"
101560,Deadly Return,"""Time Travelers"" Category Ki +2 and 
HP, ATK & DEF +80%; or Super STR Type 
Ki +2 and HP, ATK & DEF +70%"
101561,The Duty of Humanity,"""Time Travelers"" Category Ki +3 and 
HP, ATK & DEF +100%; or Super STR Type 
Ki +3 and HP, ATK & DEF +90%"
101562,Mighty Charge,"Super TEQ Type Ki +2 and HP, ATK & DEF +70%"
101563,Galactic Warrior of the Ravaged Universe,"Extreme PHY Type Ki +2 and HP, ATK & DEF +70%"
101564,Absolute Grit,"Super INT Type Ki +2 and HP, ATK & DEF +70%"
101565,Concentrated Spirit,"Super STR Type Ki +2 and HP, ATK & DEF +80%"
101566,Mysterious Pressure,"""Universe 6"" Category Ki +2 and 
HP, ATK & DEF +140%; or ""Universe Survival Saga"" 
Category Ki +2 and HP, ATK & DEF +120%"
101567,Assassin's Ultimate Technique,"""Universe 6"" Category Ki +3 and 
HP, ATK & DEF +170%; or ""Universe Survival Saga"" 
Category Ki +3 and HP, ATK & DEF +150%"
101568,Terrifying Metal Body,"All Types Ki +2 and HP, ATK & DEF +30%"
101573,The Adventure Begins,"""Dragon Ball Seekers"" Category 
Ki +1 and HP, ATK & DEF +20%"
101574,Miraculous Awakening,"""Goku's Family"" Category Ki +2, 
HP & ATK +130% and DEF +100%; or 
Super AGL Type Ki +2 and HP, ATK & DEF +100%"
101575,No Holds Barred,"""Goku's Family"" Category Ki +3, 
HP & ATK +150% and DEF +110%; or 
Super AGL Type Ki +2 and HP, ATK & DEF +110%"
101576,Indomitable Awakening,"""Vegeta's Family"" Category Ki +2, 
HP +100% and ATK & DEF +130%; or 
Super STR Type Ki +2 and HP, ATK & DEF +100%"
101577,Battle of Supreme Proportions,"""Vegeta's Family"" Category Ki +3, 
HP +110% and ATK & DEF +150%; or 
Super STR Type Ki +2 and HP, ATK & DEF +110%"
101578,Cunning Revenge,"STR Type Ki +2 and HP, ATK & DEF +70%"
101579,Demonstration of True Strength,"STR Type Ki +2 and HP, ATK & DEF +90%"
101580,Invincible Body and Ironclad Resolve,"INT Type Ki +2 and HP, ATK & DEF +70%"
101581,Overcoming Mental Weakness,"INT Type Ki +2 and HP, ATK & DEF +90%"
101582,Ingenious Scheme on a Grand Scale,PHY Type enemies' ATK -40%
101583,Ingenious Scheme on a Grand Scale,Reduces damage received by 40%
101584,Dominance Through Destruction,"""Universe 6"" Category Ki +3 and 
HP, ATK & DEF +120%; or PHY Type 
Ki +3 and HP, ATK & DEF +70%"
101585,In Search of Further Evolution,"""Pure Saiyans"" Category 
Ki +4 and HP, ATK & DEF +44%"
101586,Christmas Eve Gifts,"Guarantees Super Attack to level up by 1 
in Training"
101587,Unstoppable Battle,"Super Class Ki +3 and 
HP, ATK & DEF +90%"
101588,Fight for Pride,"Extreme Class Ki +3 and 
HP, ATK & DEF +90%"
101589,Desperate Showdown,"""Goku's Family"" Category 
Ki +3 and HP, ATK & DEF +120%; or 
AGL Type Ki +3 and HP, ATK & DEF +90%"
101590,Non-Negotiable Resolve,"""Vegeta's Family"" Category 
Ki +3 and HP, ATK & DEF +120%; or 
STR Type Ki +3 and HP, ATK & DEF +90%"
101591,Wings Spread Out to the Cosmos,"Recovers 3333 HP per Ki Sphere of 
character's Type obtained"
101595,Pure Determination,"""Dragon Ball Seekers"" Category 
Ki +2 and HP, ATK & DEF +40%"
101596,Warrior Born from Light,"""Movie Heroes"" Category Ki +2, 
ATK +140% and HP & DEF +120%; 
or ""Fusion"" Category Ki +2, 
ATK +140% and HP & DEF +100%"
101597,Transcendent Fusion,"""Movie Heroes"" Category Ki +3, 
ATK +170% and HP & DEF +150%; 
or ""Fusion"" Category Ki +3, 
ATK +170% and HP & DEF +130%"
101599,Wrathful Saiyan,"""Movie Bosses"" Category Ki +2, 
ATK +140% and HP & DEF +120%; 
or ""Full Power"" Category Ki +2, 
ATK +140% and HP & DEF +100%"
101600,Endless Evolution of the Warrior Race,"""Movie Bosses"" Category Ki +3, 
ATK +170% and HP & DEF +150%; 
or ""Full Power"" Category Ki +3, 
ATK +170% and HP & DEF +130%"
101602,Intensifying Battle,"Super TEQ Type Ki +2 and 
HP, ATK & DEF +80%"
101603,God's Effortless Controlling Aura,"Super TEQ Type Ki +3 and 
HP, ATK & DEF +100%"
101604,Rapid Clash,"Super STR Type Ki +2 and 
HP, ATK & DEF +80%"
101605,Devastating Fighting Spirit of God,"Super STR Type Ki +3 and 
HP, ATK & DEF +100%"
101606,Warrior in Exile,"Extreme AGL Type Ki +2 and 
HP, ATK & DEF +80%"
101607,Vengeful Survivor,"Extreme INT Type Ki +2 and 
HP, ATK & DEF +80%"
101608,Troublesome Father and Son,"Extreme INT Type Ki +3 and 
HP, ATK & DEF +100%"
101609,Low-Class Warrior Exiled to Earth,"""Movie Heroes"" Category 
Ki +1 and HP, ATK & DEF +30%"
101610,Becoming a Furious God,"""Movie Heroes"" Category 
Ki +2 and HP, ATK & DEF +50%"
101611,Prince of the Lost Planet,"""Movie Heroes"" Category 
Ki +1 and HP, ATK & DEF +30%"
101612,The Power of a God Unleashed,"""Movie Heroes"" Category 
Ki +2 and HP, ATK & DEF +50%"
101614,Tyrannical Despot,"""Transformation Boost"" Category 
Ki +1 and HP, ATK & DEF +30%"
101615,The Most Malevolent Ever,"""Transformation Boost"" Category 
Ki +2 and HP, ATK & DEF +50%"
101619,The Threat of the Superhuman Water,"Extreme Class Ki +2 and HP, ATK & DEF +30%"
101620,Duplicated Ability,"Extreme Class Ki +3 and HP, ATK & DEF +40%"
101621,Power that Outshines the Adults,"""Super Saiyan 3"" Category 
Ki +2 and HP, ATK & DEF +30%"
101623,To an Exciting Future,"""Dragon Ball Seekers"" Category 
Ki +3 and HP, ATK & DEF +77%"
101624,Extreme Hunting,"""Peppy Gals"" Category 
Ki +3 and HP, ATK & DEF +100%"
101625,Secret Behind the Sneezes,"""Peppy Gals"" Category 
Ki +3 and HP, ATK & DEF +120%"
101626,Interest in New Power,"""Universe 6"" or ""Peppy Gals"" Category 
Ki +2 and HP, ATK & DEF +80%"
101627,Newly Discovered Talent,"""Pure Saiyans"" or ""Peppy Gals"" Category 
Ki +2 and HP, ATK & DEF +80%"
101628,Anticipated Super Power,"Super AGL Type Ki +2 
and HP, ATK & DEF +70%"
101629,Robot Met in Space,INT Type allies' Ki +1 and ATK & DEF +30%
101630,Grand Tour Companion,INT Type allies' Ki +2 and ATK & DEF +40%
101631,Hidden Majin Power,"""Resurrected Warriors"" Category 
Ki +3 and HP, ATK & DEF +100%"
101633,A Dream Come True,"TEQ, INT and STR Type Ki +2 
and HP, ATK & DEF +30%"
101635,A New Adventure Unfolds,"""Dragon Ball Seekers"" Category 
Ki +2 and HP, ATK & DEF +130%; or 
Super INT Type Ki +2 and HP, ATK & DEF +70%"
101636,Epic Clashes on Unknown Planets,"""Dragon Ball Seekers"" Category 
Ki +3 and HP, ATK & DEF +150%; or 
Super INT Type Ki +3 and HP, ATK & DEF +90%"
101637,Endless Adventure,"""Dragon Ball Seekers"" Category 
Ki +4 and HP, ATK & DEF +170%; or 
Super INT Type Ki +4 and HP, ATK & DEF +100%"
101638,Most Calamitous Revenge Ever,"""Artificial Life Forms"" Category 
Ki +2 and HP, ATK & DEF +80%; or 
Extreme AGL Type Ki +2 and HP, ATK & DEF +70%"
101639,Tuffle Power Evolved,"""Artificial Life Forms"" Category 
Ki +3 and HP, ATK & DEF +100%; or 
Extreme AGL Type Ki +3 and HP, ATK & DEF +90%"
101640,Ultimate Malign Being,"""Artificial Life Forms"" Category 
Ki +4 and HP, ATK & DEF +130%; or 
Extreme AGL Type Ki +4 and HP, ATK & DEF +100%"
101643,Sharp Intellect,"PHY Type Ki +2 and HP, ATK & DEF +30%"
101644,Confidence-Imbuing Moment,"AGL, TEQ & PHY Type 
Ki +3 and HP, ATK & DEF +70%"
101645,Dynamic Flash,"All Types Ki +2 and HP, ATK & DEF +70%"
101646,Potent Super Attack,"""Goku's Family"" Category 
Ki +3 and HP, ATK & DEF +120%; or 
TEQ Type Ki +3 and HP, ATK & DEF +90%"
101649,Explosive Super Elite,"""Vegeta's Family"" Category 
Ki +3 and HP, ATK & DEF +120%; or 
PHY Type Ki +3 and HP, ATK & DEF +90%"
101650,Universe's Top Warrior Race,"""Pure Saiyans"" Category 
Ki +2 and HP, ATK & DEF +120%; or 
Super Class Ki +2 and HP, ATK & DEF +80%"
101651,Limitless Combat Power,"""Pure Saiyans"" Category 
Ki +3 and HP, ATK & DEF +150%; or 
Super Class Ki +3 and HP, ATK & DEF +100%"
101656,Endless Death-Match,"""DB Saga"" Category Ki +2 
and HP, ATK & DEF +150%; 
or ""Youth"" Category Ki +2 
and HP, ATK & DEF +120%"
101657,All-Or-Nothing Punch,"""DB Saga"" Category Ki +3 
and HP, ATK & DEF +170%; 
or ""Youth"" Category Ki +3 
and HP, ATK & DEF +150%"
101658,Culmination of Hope,"INT Type Ki +2 and HP, ATK & DEF +30%"
101661,New Power from Training,"INT Type Ki +3 and HP, ATK & DEF +90%"
101662,Demon King's Punishment,"""DB Saga"" Category 
Ki +2 and HP, ATK & DEF +100%; 
or Extreme STR Type 
Ki +2 and HP, ATK & DEF +70%"
101663,King of the Evil Realm,"""DB Saga"" Category 
Ki +3 and HP, ATK & DEF +120%; 
or Extreme STR Type 
Ki +3 and HP, ATK & DEF +90%"
101664,Master Roshi's Resolve,"""DB Saga"" Category 
Ki +2 and HP, ATK & DEF +100%; 
or Super TEQ Type 
Ki +2 and HP, ATK & DEF +70%"
101665,Mysterious Technique,"""DB Saga"" Category 
Ki +3 and HP, ATK & DEF +120%; 
or Super TEQ Type 
Ki +3 and HP, ATK & DEF +90%"
101669,Explosive Rage,"AGL and PHY Types 
Ki +2 and HP, ATK & DEF +40%"
101671,All-Out Clash!,"""Goku's Family"" Category 
Ki +4 and HP, ATK & DEF +44%"
101672,Saiyan Assault!,"""Vegeta's Family"" Category 
Ki +4 and HP, ATK & DEF +44%"
101673,The Ultimate Evil and Hatred,"AGL Type Ki +3 and HP, ATK & DEF +80%"
101674,All-New Power,"AGL Type Ki +3 and HP, ATK & DEF +80%"
101675,Intensely Trained Body and Mind,"All Types Ki +3 and HP, ATK & DEF +60%"
101676,Swirling Dark Magic,"AGL Type Ki +3 and HP, ATK & DEF +80%"
101677,Unmeasurable Super Combat Power,"INT Type Ki +3 and HP, ATK & DEF +80%"
101678,Savage and Sly Majin,"INT Type Ki +3 and HP, ATK & DEF +80%"
101679,Sons of a Great Father,"""Siblings' Bond"" Category Ki +2, 
ATK +140% and HP & DEF +120%; 
or ""Goku's Family"" Category Ki +2, 
ATK +140% and HP & DEF +100%"
101680,Successors of Ultimate Strength,"""Siblings' Bond"" Category Ki +3, 
ATK +150% and HP & DEF +130%; 
or ""Goku's Family"" Category Ki +3, 
ATK +150% and HP & DEF +110%"
101681,Miracle-Calling Clash,"""Siblings' Bond"" Category Ki +4, 
ATK +170% and HP & DEF +150%; 
or ""Goku's Family"" Category Ki +3, 
ATK +170% and HP & DEF +130%"
101682,Female Saiyans of Universe 6,"""Joined Forces"" Category Ki +2 and 
HP, ATK & DEF +80%; or Super AGL Type 
Ki +2 and HP, ATK & DEF +70%"
101683,Vow to Grow,"""Joined Forces"" Category Ki +3 and 
HP, ATK & DEF +100%; or Super AGL Type 
Ki +3 and HP, ATK & DEF +90%"
101684,Two Makes the Strongest of All Universes,"""Joined Forces"" Category Ki +4 and 
HP, ATK & DEF +130%; or Super AGL Type 
Ki +4 and HP, ATK & DEF +100%"
101685,Awakened Demonic Warrior,"""Resurrected Warriors"" Category 
Ki +2 and HP, ATK & DEF +80%; or 
Extreme TEQ Type Ki +2 and HP, ATK & DEF +70%"
101686,Super Saiyan Counterattack,"""Resurrected Warriors"" Category 
Ki +3 and HP, ATK & DEF +100%; or 
Extreme TEQ Type Ki +3 and HP, ATK & DEF +90%"
101687,Nightmarish Impact,"""Resurrected Warriors"" Category 
Ki +4 and HP, ATK & DEF +130%; or 
Extreme TEQ Type Ki +4 and HP, ATK & DEF +100%"
101689,Matured Power,"""Movie Heroes"" Category 
Ki +2 and HP, ATK & DEF +100%"
101690,Strike for Destiny,"""Movie Heroes"" Category 
Ki +3 and HP, ATK & DEF +120%"
101691,Silent Bloodthirst,"PHY Type Ki +2 and HP, ATK & DEF +30%"
101692,In the Name of Survival,"""Namekians"" Category 
Ki +3 and HP, ATK & DEF +66%"
101693,Uninhibited Visitor,"""Universe 6"" Category 
Ki +2 and HP, ATK & DEF +40%"
101695,Brutal Vengeance,"TEQ Type Ki +2 and HP, ATK & DEF +50%"
101696,Gentle Android's Ire,"STR Type Ki +2 and HP, ATK & DEF +50%"
101697,Radiant Battle,"Super INT Type 
Ki +2 and HP, ATK & DEF +70%"
101698,Hatred Unleashed,"Extreme TEQ Type 
Ki +2 and HP, ATK & DEF +70%"
101699,Unified Desire of Vengeance,"STR Type Ki +3 and HP, ATK & DEF +50%"
101700,Awesome Adaptability,"Super INT Type Ki +2 and HP, ATK & DEF +70%"
101701,Instructor of Gods,"""Realm of Gods"" Category 
Ki +2 and HP, ATK & DEF +100%"
101702,A Lesson in Good and Evil,"""Realm of Gods"" Category 
Ki +3 and HP, ATK & DEF +120%"
101703,Angel of Universe 6,"""Universe 6"" Category 
Ki +2 and HP, ATK & DEF +40%"
101704,Definite Path,"""Universe 6"" Category 
Ki +2 and HP, ATK & DEF +66%"
101705,Premonition of Rapid Growth,"Super TEQ Type Ki +2 and HP, ATK & DEF +70%"
101706,Power to Overcome Adversity,"""Time Travelers"" Category 
Ki +3 and HP, ATK & DEF +120%; 
or INT Type Ki +3 and HP, ATK & DEF +70%"
101707,New Resolution for the Future,"""Future Saga"" Category Ki +2, 
HP & ATK +140% and DEF +100%; or 
Super Class Ki +2 and HP, ATK & DEF +100%"
101708,Resilient Will to Protect the Future,"""Future Saga"" Category Ki +3, 
HP & ATK +170% and DEF +130%; or 
Super Class Ki +3 and HP, ATK & DEF +120%"
101711,Intoxicated with the Execution of Justice,"""Realm of Gods"" Category Ki +2, 
HP & ATK +140% and DEF +100%; or 
Extreme Class Ki +2 and HP, ATK & DEF +100%"
101712,True Power of a God,"""Realm of Gods"" Category Ki +3, 
HP & ATK +170% and DEF +130%; or 
Extreme Class Ki +3 and HP, ATK & DEF +120%"
101715,Foreshadowing of Despair,"PHY Type Ki +1 and HP, ATK & DEF +25%"
101716,Storm of Terror,"PHY Type Ki +2 and HP, ATK & DEF +30%"
101717,The Final Trump Card,"""Planet Namek Saga"" Category 
Ki +2, HP +100% and ATK & DEF +140%"
101718,Pinnacle of Fury,"""Super Saiyans"" or 
""Planet Namek Saga"" Category 
Ki +3, HP +130% and ATK & DEF +170%"
101721,Overflowing Bloodlust,"""Planet Namek Saga"" Category 
Ki +2 and HP, ATK & DEF +100%; or 
AGL Type Ki +2 and HP, ATK & DEF +70%"
101722,Earth-Piercing Light,"""Planet Namek Saga"" Category 
Ki +3 and HP, ATK & DEF +120%; or 
AGL Type Ki +3 and HP, ATK & DEF +90%"
101723,Last Resort,"""Fusion"" Category 
Ki +1 and HP, ATK & DEF +30%"
101724,Into the Final Phase,"""Fusion"" Category 
Ki +2 and HP, ATK & DEF +50%"
101725,Heroic Nature,"Super Class Ki +1 and HP, ATK & DEF +30%"
101726,World-Saving Hero,"Super Class Ki +2 and HP, ATK & DEF +40%"
