id,escalation_type,level,escalation_value
2113,575,6,156
2114,575,7,178
2115,575,10,222
2116,575,11,228
2117,576,1,100
2118,576,2,105
2119,576,3,105
2120,576,4,119
2121,576,6,119
2122,576,7,129
2123,576,8,133
2124,576,9,133
2125,576,10,138
2126,576,11,141
2127,577,1,100
2128,577,3,100
2129,577,4,121
2130,577,6,121
2131,577,7,143
2132,577,8,164
2133,577,9,186
2134,577,10,214
2135,577,11,219
2136,578,1,130
2137,578,4,135
2138,578,7,140
2139,578,9,145
2140,578,10,150
2141,582,1,100
2142,582,7,131
2143,582,15,162
2144,582,18,177
2145,582,28,184
2146,582,30,193
2147,582,31,194
2148,583,1,100
2149,583,2,100
2150,583,28,151
2151,583,30,158
2152,583,31,160
2153,584,1,100
2154,584,3,100
2155,584,28,1009
2156,584,30,1009
2157,584,31,1038
2158,585,1,100
2159,585,17,100
2160,585,18,115
2161,585,25,115
2162,585,26,125
2163,585,30,125
2164,589,1,100
2165,589,7,129
2166,589,15,157
2167,589,18,172
2168,589,28,178
2169,589,30,186
2170,589,31,187
2171,590,1,100
2172,590,2,100
2173,590,28,151
2174,590,30,158
2175,590,31,160
2176,591,1,100
2177,591,3,100
2178,591,28,1009
2179,591,30,1009
2180,591,31,1038
2181,592,1,100
2182,592,17,100
2183,592,18,115
2184,592,25,115
2185,592,26,125
2186,592,30,125
2218,603,1,100
2219,603,3,111
2220,603,4,133
2221,603,6,156
2222,603,7,178
2223,603,10,222
2224,603,11,228
2225,604,1,100
2226,604,2,106
2227,604,3,106
2228,604,4,123
2229,604,6,123
2230,604,7,134
2231,604,8,140
2232,604,9,140
2233,604,10,146
2234,604,11,149
2235,605,1,100
2236,605,3,100
2237,605,4,121
2238,605,6,121
2239,605,7,143
2240,605,8,164
2241,605,9,186
2242,605,10,214
2243,605,11,219
2244,606,1,130
2245,606,4,135
2246,606,7,140
2247,606,9,145
2248,606,10,150
2249,610,1,100
2250,610,5,111
2251,610,6,115
2252,610,10,124
2253,610,11,127
2254,610,15,145
2255,610,16,149
2256,610,20,155
2257,610,21,158
2258,610,25,178
2259,610,26,182
2260,610,30,187
2261,610,31,188
2262,611,1,100
2263,611,2,100
2264,611,30,181
2265,611,31,184
2266,612,1,100
2267,612,3,100
2268,612,30,700
2269,612,31,740
2270,613,1,100
2271,613,5,100
2272,613,6,105
2273,613,10,105
2274,613,11,115
2275,613,15,115
2276,613,16,120
2277,613,20,120
2278,613,21,130
2279,613,30,130
2280,617,1,100
2281,617,7,127
2282,617,15,154
2283,617,18,167
2284,617,28,173
2285,617,30,180
2286,617,31,181
2287,618,1,100
2288,618,2,100
2289,618,28,135
2290,618,30,140
2291,618,31,141
2292,619,1,100
2293,619,3,100
2294,619,28,1009
2295,619,30,1009
2296,619,31,1038
2297,620,1,100
2298,620,17,100
2299,620,18,115
2300,620,25,115
2301,620,26,125
2302,620,30,125
2334,631,1,100
2335,631,5,111
2336,631,6,115
2337,631,10,124
2338,631,11,127
2339,631,15,145
2340,631,16,149
2341,631,20,155
2342,631,21,158
2343,631,25,178
2344,631,26,182
2345,631,30,187
2346,631,31,188
2347,632,1,100
2348,632,2,100
2349,632,30,153
2350,632,31,154
2351,633,1,100
2352,633,3,100
2353,633,30,700
2354,633,31,740
2355,634,1,100
2356,634,5,100
2357,634,6,105
2358,634,10,105
2359,634,11,115
2360,634,15,115
2361,634,16,120
2362,634,20,120
2363,634,21,130
2364,634,30,130
2459,652,1,100
2460,652,3,111
2461,652,6,115
2462,652,10,124
2463,652,11,127
2464,652,15,136
2465,652,16,140
2466,652,20,149
2467,652,21,153
2468,652,25,175
2469,652,26,178
2470,652,30,182
2471,652,31,183
2472,653,1,100
2473,653,3,114
2474,653,6,119
2475,653,10,127
2476,653,11,132
2477,653,15,141
2478,653,16,146
2479,653,20,154
2480,653,21,159
2481,653,25,168
2482,653,26,173
2483,653,30,181
2484,653,31,184
2485,654,1,100
2486,654,10,360
2487,654,11,400
2488,654,15,440
2489,654,16,480
2490,654,20,520
2491,654,21,560
2492,654,25,600
2493,654,26,640
2494,654,30,700
2495,654,31,740
2496,655,1,100
2497,655,10,100
2498,655,11,105
2499,655,15,105
2500,655,16,110
2501,655,20,110
2502,655,21,115
2503,655,25,115
2504,655,26,120
2505,655,30,120
2506,659,1,100
2507,659,3,111
2508,659,4,133
2509,659,6,156
2510,659,7,178
2511,659,10,222
2512,659,11,228
2513,660,1,100
2514,660,2,104
2515,660,3,104
2516,660,4,117
2517,660,6,117
2518,660,7,125
2519,660,8,130
2520,660,9,130
2521,660,10,132
2522,660,11,136
2523,661,1,100
2524,661,3,100
2525,661,4,121
2526,661,6,121
2527,661,7,143
2528,661,8,164
2529,661,9,186
2530,661,10,214
2531,661,11,219
2532,662,1,130
2533,662,4,135
2534,662,7,140
2535,662,9,145
2536,662,10,150
2537,666,1,100
2539,666,15,111
2541,666,28,131
2542,666,30,134
2543,666,31,135
2544,667,1,100
2546,667,28,140
2547,667,30,159
2548,667,31,161
2549,668,1,100
2550,668,3,100
2551,668,28,1009
2552,668,30,1009
2553,668,31,1038
2554,669,1,100
2555,669,17,100
2556,669,18,115
2557,669,25,115
2558,669,26,125
2559,669,30,125
2560,666,10,103
2561,666,20,119
2562,666,25,128
2563,667,10,104
2564,673,1,100
2565,673,5,111
2566,673,6,115
2567,673,10,124
2568,673,11,127
2569,673,15,145
2570,673,16,149
2571,673,20,155
2572,673,21,158
2573,673,25,178
2574,673,26,182
2575,673,30,187
2576,673,31,188
2577,674,1,100
2578,674,2,100
2579,674,30,141
2580,674,31,142
2581,675,1,100
2582,675,3,100
2583,675,30,700
2584,675,31,740
2585,676,1,100
2586,676,5,100
2587,676,6,105
2588,676,10,105
2589,676,11,115
2590,676,15,115
2591,676,16,120
2592,676,20,120
2593,676,21,130
2594,676,30,130
2595,680,1,100
2596,680,6,112
2597,680,7,114
2598,680,9,121
2599,680,10,123
2600,680,12,133
2601,680,13,136
2602,680,18,151
2603,680,19,154
2604,680,24,174
2605,680,25,177
2606,680,30,179
2607,680,31,180
2608,681,1,100
2609,681,6,116
2610,681,7,120
2611,681,9,126
2612,681,10,130
2613,681,12,136
2614,681,13,140
2615,681,18,154
2616,681,19,158
2617,681,24,164
2618,681,25,168
2619,681,30,174
2620,681,31,176
2621,682,1,100
2622,682,9,360
2623,682,10,400
2624,682,12,440
2625,682,13,480
2626,682,18,520
2627,682,19,560
2628,682,24,600
2629,682,25,640
2630,682,30,700
2631,682,31,740
2632,683,1,100
2633,683,9,100
2634,683,10,105
2635,683,12,105
2636,683,13,110
2637,683,18,110
2638,683,19,115
2639,683,24,115
2640,683,25,125
2641,683,30,125
2642,687,1,100
2643,687,3,114
2644,687,4,143
2645,687,6,171
2646,687,7,214
2647,687,10,257
2648,687,11,264
2649,688,1,100
2650,688,2,100
2651,688,3,100
2652,688,4,117
2653,688,6,117
2654,688,7,128
2655,688,8,133
2656,688,9,133
2657,688,10,139
2658,688,11,142
2659,689,1,100
2660,689,3,100
2661,689,4,121
2662,689,6,121
2663,689,7,143
2664,689,8,164
2665,689,9,186
2666,689,10,214
2667,689,11,219
2668,690,1,120
2669,690,4,125
2670,690,7,130
2671,690,9,135
2672,690,10,140
2673,694,1,100
2674,694,5,106
2675,694,6,113
2676,694,10,119
2677,694,11,128
2678,694,15,134
2679,694,16,144
2680,694,20,150
2681,694,21,159
2682,694,30,197
2683,694,31,200
2684,695,1,100
2685,695,30,120
2686,695,31,122
2687,696,1,100
2688,696,3,100
2689,696,30,712
2690,696,31,746
2691,697,1,105
2692,697,5,105
2693,697,6,110
2694,697,10,125
2695,697,11,130
2696,697,20,130
2697,697,21,135
2698,697,30,135
2699,701,1,100
2700,701,21,100
2701,701,30,113
2702,701,31,115
2703,702,1,100
2704,702,21,103
2705,702,30,116
2706,702,31,117
2707,703,1,100
2708,703,21,100
2709,703,30,105
2710,703,31,111
2711,704,1,130
2712,704,21,130
2713,704,30,130
2714,708,1,100
2715,708,5,109
2716,708,6,112
2717,708,10,120
2718,708,11,123
2719,708,15,138
2720,708,16,142
2721,708,20,146
2722,708,21,149
2723,708,25,166
2724,708,26,169
2725,708,30,174
2726,708,31,175
2727,709,1,100
2728,709,2,100
2729,709,30,139
2730,709,31,153
2731,710,1,100
2732,710,3,100
2733,710,30,700
2734,710,31,740
2735,711,1,100
2736,711,5,100
2737,711,6,105
2738,711,10,105
2739,711,11,115
2740,711,15,115
2741,711,16,120
2742,711,20,120
2743,711,21,130
2744,711,30,130
2745,715,1,100
2746,715,3,105
2747,715,4,116
2748,715,6,126
2749,715,7,137
2750,715,10,158
2751,715,11,161
2752,716,1,100
2753,716,2,103
2754,716,3,103
2755,716,4,114
2756,716,6,114
2757,716,7,120
2758,716,8,124
2759,716,9,124
2760,716,10,126
2761,716,11,129
2762,717,1,100
2763,717,3,100
2764,717,4,121
2765,717,6,121
2766,717,7,143
2767,717,8,164
2768,717,9,186
2769,717,10,214
2770,717,11,219
2771,718,1,130
2772,718,4,135
2773,718,7,140
2774,718,9,145
2775,718,10,150
2784,729,1,100
2785,729,3,107
2786,729,4,121
2787,729,6,136
2788,729,7,150
2789,729,10,179
2790,729,11,182
2791,730,1,100
2792,730,2,104
2793,730,3,104
2794,730,4,116
2795,730,6,116
2796,730,7,124
2797,730,8,128
2798,730,9,128
2799,730,10,133
2800,730,11,135
2801,731,1,100
2802,731,3,100
2803,731,4,121
2804,731,6,121
2805,731,7,143
2806,731,8,164
2807,731,9,186
2808,731,10,214
2809,731,11,219
2810,732,1,130
2811,732,4,135
2812,732,7,140
2813,732,9,145
2814,732,10,150
2815,736,1,100
2816,736,3,150
2817,736,4,250
2818,736,6,350
2819,736,7,450
2820,736,10,650
2821,736,11,675
2822,737,1,100
2823,737,2,103
2824,737,3,103
2825,737,4,114
2826,737,6,121
2827,737,7,121
2828,737,8,124
2829,737,9,124
2830,737,10,128
2831,737,11,130
2832,738,1,100
2833,738,3,100
2834,738,4,121
2835,738,6,121
2836,738,7,143
2837,738,8,164
2838,738,9,186
2839,738,10,214
2840,738,11,219
2841,739,1,130
2842,739,4,135
2843,739,7,140
2844,739,9,145
2845,739,10,150
2846,743,1,100
2847,743,7,100
2848,743,10,144
2849,743,11,150
2850,744,1,100
2851,744,7,100
2852,744,8,103
2853,744,9,103
2854,744,10,106
2855,744,11,108
2856,745,1,100
2857,745,7,100
2858,745,8,115
2859,745,9,130
2860,745,10,150
2861,745,11,153
2862,746,1,140
2863,746,7,140
2864,746,9,145
2865,746,10,150
2866,750,1,100
2867,750,7,129
2868,750,15,157
2869,750,18,172
2870,750,28,178
2871,750,30,186
2872,750,31,187
2873,751,1,100
2874,751,2,100
2875,751,28,144
2876,751,30,150
2877,751,31,152
2878,752,1,100
2879,752,3,100
2880,752,28,1009
2881,752,30,1009
2882,752,31,1038
2883,753,1,100
2884,753,17,100
2885,753,18,115
2886,753,25,115
2887,753,26,125
2888,753,30,125
2889,757,1,100
2890,757,100,300
2891,757,300,1333
2892,757,500,4000
2893,757,700,6000
2894,757,900,8333
2895,757,958,8667
2896,757,959,8833
2897,757,980,9000
2898,757,981,9167
2899,757,999,10000
2900,758,1,100
2901,758,100,129
2902,758,300,294
2903,758,500,500
2904,758,700,647
2905,758,900,806
2906,758,958,947
2907,758,959,971
2908,758,980,988
2909,758,981,1029
2910,758,999,1047
2911,759,1,100
2912,759,100,1600
2913,759,300,2000
2914,759,500,2000
2915,759,700,2000
2916,759,900,2000
2917,759,958,2000
2918,759,959,2400
2919,759,980,2400
2920,759,981,2800
2921,759,999,2880
2922,760,1,100
2923,760,100,105
2924,760,300,110
2925,760,500,115
2926,760,700,120
2927,760,900,125
2928,760,958,125
2929,760,959,130
2930,760,980,130
2931,760,981,135
2932,760,999,140
2933,757,340,2133
2934,758,340,335
2935,759,340,2000
2936,757,130,400
2937,758,242,133
2938,758,259,134
2939,764,1,100
2940,764,7,129
2941,764,15,157
2942,764,18,172
2943,764,28,178
2944,764,30,186
2945,764,31,187
2946,765,1,100
2947,765,2,100
2948,765,28,144
2949,765,30,150
2950,765,31,152
2951,766,1,100
2952,766,3,100
2953,766,28,1009
2954,766,30,1009
2955,766,31,1038
2956,767,1,100
2957,767,17,100
2958,767,18,115
2959,767,25,115
2960,767,26,125
2961,767,30,125
2962,771,1,100
2963,771,7,139
2964,771,15,176
2965,771,18,194
2966,771,28,204
2967,771,30,215
2968,771,31,216
2969,772,1,100
2970,772,2,100
2971,772,28,147
2972,772,30,152
2973,772,31,154
2974,773,1,100
2975,773,3,100
2976,773,28,1313
2977,773,30,1313
2978,773,31,1346
2979,774,1,100
2980,774,17,100
2981,774,18,115
2982,774,25,115
2983,774,26,125
2984,774,30,125
3016,785,1,100
3017,785,3,108
3018,785,4,123
3019,785,6,138
3020,785,7,154
3021,785,10,185
3022,785,11,188
3023,786,1,100
3024,786,2,104
3025,786,3,104
3026,786,4,117
3027,786,6,117
3028,786,7,125
3029,786,8,130
3030,786,9,130
3031,786,10,132
3032,786,11,136
3033,787,1,100
3034,787,3,100
3035,787,4,121
3036,787,6,121
3037,787,7,143
3038,787,8,164
3039,787,9,186
3040,787,10,214
3041,787,11,219
3042,788,1,125
3043,788,4,130
3044,788,7,135
3045,788,9,140
3046,788,10,145
3047,792,1,100
3048,792,7,123
3049,792,15,145
3050,792,18,157
3051,792,28,161
3052,792,30,167
3053,792,31,167
3054,793,1,100
3055,793,2,100
3056,793,28,145
3057,793,30,149
3058,793,31,150
3059,794,1,100
3060,794,3,100
3061,794,28,1154
3062,794,30,1154
3063,794,31,1185
3064,795,1,105
3065,795,17,110
3066,795,18,125
3067,795,25,125
3068,795,26,135
3069,795,30,135
3070,799,1,100
3071,799,5,109
3072,799,6,112
3073,799,10,120
3074,799,11,123
3075,799,15,138
3076,799,16,142
3077,799,20,146
3078,799,21,149
3079,799,25,166
3080,799,26,169
3081,799,30,174
3082,799,31,175
3083,800,1,100
3084,800,2,100
3085,800,30,139
3086,800,31,153
3087,801,1,100
3088,801,3,100
3089,801,30,700
3090,801,31,740
3091,802,1,100
3092,802,5,100
3093,802,6,105
3094,802,10,105
3095,802,11,115
3096,802,15,115
3097,802,16,120
3098,802,20,120
3099,802,21,130
3100,802,30,130
3101,806,1,100
3102,806,3,112
3103,806,4,118
3104,806,6,129
3105,806,7,141
3106,806,10,165
3107,806,11,168
3108,807,1,100
3109,807,2,107
3110,807,3,107
3111,807,4,129
3112,807,6,129
3113,807,7,143
3114,807,8,150
3115,807,9,150
3116,807,10,157
3117,807,11,161
3118,808,1,100
3119,808,3,100
3120,808,4,121
3121,808,6,121
3122,808,7,143
3123,808,8,164
3124,808,9,186
3125,808,10,214
3126,808,11,219
3127,809,1,130
3128,809,4,135
3129,809,7,140
3130,809,9,145
3131,809,10,150
3132,813,1,100
3133,813,3,104
3134,813,4,113
3135,813,6,121
3136,813,7,129
3137,813,10,146
3138,813,11,148
3139,814,1,100
3140,814,2,103
3141,814,3,103
3142,814,4,107
3143,814,6,113
3144,814,7,120
3145,814,8,123
3146,814,9,123
3147,814,10,127
3148,814,11,129
3149,815,1,100
3150,815,3,100
3151,815,4,121
3152,815,6,121
3153,815,7,143
3154,815,8,164
3155,815,9,186
3156,815,10,214
3157,815,11,219
3158,816,1,130
3159,816,4,135
3160,816,7,140
3161,816,9,145
3162,816,10,150
3163,820,1,100
3164,820,7,140
3165,820,15,181
3166,820,18,201
3167,820,28,210
3168,820,30,221
3169,820,31,222
3170,821,1,100
3171,821,2,100
3172,821,28,135
3173,821,30,140
3174,821,31,141
3175,822,1,100
3176,822,3,100
3177,822,28,1009
3178,822,30,1009
3179,822,31,1038
3180,823,1,100
3181,823,17,100
3182,823,18,115
3183,823,25,115
3184,823,26,125
3185,823,30,125
3217,834,1,100
3218,834,3,104
3219,834,4,112
3220,834,6,119
3221,834,7,127
3222,834,10,142
3223,834,11,144
3224,835,1,100
3225,835,2,103
3226,835,3,109
3227,835,4,119
3228,835,6,132
3229,835,7,132
3230,835,8,135
3231,835,9,135
3232,835,10,138
3233,835,11,140
3234,836,1,100
3235,836,3,100
3236,836,4,121
3237,836,6,121
3238,836,7,143
3239,836,8,164
3240,836,9,186
3241,836,10,214
3242,836,11,219
3243,837,1,130
3244,837,4,135
3245,837,7,140
3246,837,9,145
3247,837,10,150
3248,841,1,100
3249,841,5,112
3250,841,6,115
3251,841,10,125
3252,841,11,129
3253,841,15,148
3254,841,16,152
3255,841,20,158
3256,841,21,162
3257,841,25,175
3258,841,26,179
3259,841,30,212
3260,841,31,213
3261,842,1,100
3262,842,2,100
3263,842,30,144
3264,842,31,150
3265,843,1,100
3266,843,3,100
3267,843,30,700
3268,843,31,740
3269,844,1,100
3270,844,5,100
3271,844,6,105
3272,844,10,105
3273,844,11,115
3274,844,15,115
3275,844,16,120
3276,844,20,120
3277,844,21,130
3278,844,30,130
3279,848,1,100
3280,848,7,129
3281,848,15,173
3282,848,18,184
3283,848,28,202
3284,848,30,209
3285,848,31,210
3286,849,1,100
3287,849,2,100
3288,849,28,274
3289,849,30,282
3290,849,31,283
3291,850,1,100
3292,850,3,100
3293,850,28,1313
3294,850,30,1313
3295,850,31,1346
3296,851,1,100
3297,851,17,100
3298,851,18,115
3299,851,25,115
3300,851,26,125
3301,851,30,125
3302,855,1,100
3303,855,3,111
3304,855,4,116
3305,855,6,126
3306,855,7,137
3307,855,10,158
3308,855,11,161
3309,856,1,100
3310,856,2,105
3311,856,3,105
3312,856,4,118
3313,856,6,118
3314,856,7,127
3315,856,8,132
3316,856,9,132
3317,856,10,136
3318,856,11,139
3319,857,1,100
3320,857,3,100
3321,857,4,121
3322,857,6,121
3323,857,7,143
3324,857,8,164
3325,857,9,186
3326,857,10,214
3327,857,11,219
3328,858,1,130
3329,858,4,135
3330,858,7,140
3331,858,9,145
3332,858,10,150
3333,862,1,100
3334,862,7,129
3335,862,15,157
3336,862,18,172
3337,862,28,178
3338,862,30,186
3339,862,31,187
3340,863,1,100
3341,863,2,100
3342,863,28,164
3343,863,30,170
3344,863,31,171
3345,864,1,100
3346,864,3,100
3347,864,28,1009
3348,864,30,1009
3349,864,31,1038
3350,865,1,100
3351,865,17,100
3352,865,18,115
3353,865,25,115
3354,865,26,125
3355,865,30,125
3356,869,1,100
3357,869,7,136
3358,869,15,192
3359,869,18,207
3360,869,28,230
3361,869,30,239
3362,869,31,240
3363,870,1,100
3364,870,2,100
3365,870,28,159
3366,870,30,166
3367,870,31,168
3368,871,1,100
3369,871,3,100
3370,871,28,1313
3371,871,30,1313
3372,871,31,1346
3373,872,1,100
3374,872,17,100
3375,872,18,115
3376,872,25,115
3377,872,26,125
3378,872,30,125
3379,876,1,100
3380,876,7,123
3381,876,15,145
3382,876,18,157
3383,876,28,161
3384,876,30,167
3385,876,31,168
3386,877,1,100
3387,877,2,100
3388,877,28,153
3389,877,30,158
3390,877,31,159
3391,878,1,100
3392,878,3,100
3393,878,28,1154
3394,878,30,1154
3395,878,31,1185
3396,879,1,105
3397,879,17,110
3398,879,18,125
3399,879,25,125
3400,879,26,135
3401,879,30,135
94000,94000,1,100
94001,94001,1,100
94002,94002,1,100
94003,94003,1,100
94004,94001,2,100
94005,94002,3,100
94006,94000,7,136
94007,94000,15,192
94008,94003,17,100
94009,94000,18,207
94010,94003,18,115
94011,94003,25,115
94012,94003,26,125
94013,94000,28,230
94014,94001,28,197
94015,94002,28,1313
94016,94000,30,239
94017,94001,30,205
94018,94002,30,1313
94019,94003,30,125
94020,94000,31,240
94021,94001,31,207
94022,94002,31,1346
95000,95000,1,100
95001,95001,1,100
95002,95002,1,100
95003,95003,1,100
95004,95000,4,117
95005,95001,4,109
95006,95000,7,128
95007,95001,7,112
95008,95000,9,135
95009,95001,9,118
95010,95002,9,360
95011,95003,9,100
95012,95000,10,138
95013,95001,10,121
95014,95002,10,400
95015,95003,10,105
95016,95000,15,162
95017,95001,15,126
95018,95002,15,440
95019,95003,15,105
95020,95000,16,165
95021,95001,16,130
95022,95002,16,480
95023,95003,16,110
95024,95000,21,195
95025,95001,21,135
95026,95002,21,520
95027,95003,21,110
95028,95000,22,198
95029,95001,22,139
95030,95002,22,560
95031,95003,22,115
95032,95000,25,225
95033,95001,25,144
95034,95002,25,600
95035,95003,25,115
95036,95000,26,228
95037,95001,26,147
95038,95002,26,640
95039,95003,26,120
95040,95000,30,231
95041,95001,30,153
95042,95002,30,700
95043,95003,30,120
95044,95000,31,232
95045,95001,31,154
95046,95002,31,740
96000,96000,1,100
96001,96001,1,100
96002,96002,1,100
96003,96003,1,130
96004,96001,2,104
96005,96000,3,107
96006,96001,3,104
96007,96002,3,100
96008,96000,4,121
96009,96001,4,113
96010,96002,4,121
96011,96003,4,135
96012,96000,6,136
96013,96001,6,121
96014,96002,6,121
96015,96000,7,150
96016,96001,7,129
96017,96002,7,143
96018,96003,7,140
96019,96001,8,133
96020,96002,8,164
96021,96001,9,133
96022,96002,9,186
96023,96003,9,145
96024,96000,10,179
96025,96001,10,137
96026,96002,10,214
96027,96003,10,150
96028,96000,11,182
96029,96001,11,140
96030,96002,11,219
97000,97000,1,100
97001,97001,1,100
97002,97002,1,100
97003,97003,1,100
97004,97001,2,100
97005,97002,3,100
97006,97000,7,136
97007,97000,15,192
97008,97003,17,100
97009,97000,18,207
97010,97003,18,115
97011,97003,25,115
97012,97003,26,125
97013,97000,28,230
97014,97001,28,223
97015,97002,28,1313
97016,97000,30,239
97017,97001,30,230
97018,97002,30,1313
97019,97003,30,125
97020,97000,31,240
97021,97001,31,232
97022,97002,31,1346
98000,98000,1,100
98001,98001,1,100
98002,98002,1,100
98003,98003,1,100
98004,98001,2,100
98005,98002,3,100
98006,98000,7,116
98007,98000,15,159
98008,98003,17,100
98009,98000,18,165
98010,98003,18,115
98011,98003,25,115
98012,98003,26,125
98013,98000,28,212
98014,98001,28,279
98015,98002,28,1313
98016,98000,30,222
98017,98001,30,287
98018,98002,30,1313
98019,98003,30,125
98020,98000,31,223
98021,98001,31,288
98022,98002,31,1346
99000,99000,1,100
99001,99001,1,100
99002,99002,1,100
99003,99003,1,100
99004,99000,4,117
99005,99001,4,109
99006,99000,7,128
99007,99001,7,112
99008,99000,9,135
99009,99001,9,118
99010,99002,9,360
99011,99003,9,100
99012,99000,10,138
99013,99001,10,121
99014,99002,10,400
99015,99003,10,105
99016,99000,15,162
99017,99001,15,126
99018,99002,15,440
99019,99003,15,105
99020,99000,16,165
99021,99001,16,130
99022,99002,16,480
99023,99003,16,110
99024,99000,21,195
99025,99001,21,135
99026,99002,21,520
99027,99003,21,110
99028,99000,22,198
99029,99001,22,139
99030,99002,22,560
99031,99003,22,115
99032,99000,25,225
99033,99001,25,144
99034,99002,25,600
99035,99003,25,115
99036,99000,26,228
99037,99001,26,147
99038,99002,26,640
99039,99003,26,120
99040,99000,30,231
99041,99001,30,153
99042,99002,30,700
99043,99003,30,120
99044,99000,31,232
99045,99001,31,154
99046,99002,31,740
100000,100000,1,100
100001,100001,1,100
100002,100002,1,100
100003,100003,1,130
100004,100001,2,104
100005,100000,3,113
100006,100001,3,104
100007,100002,3,100
100008,100000,4,138
100009,100001,4,116
100010,100002,4,121
100011,100003,4,135
100012,100000,6,200
100013,100001,6,126
100014,100002,6,121
100015,100000,7,225
100016,100001,7,137
100017,100002,7,143
100018,100003,7,140
100019,100001,8,142
100020,100002,8,164
100021,100001,9,142
100022,100002,9,186
100023,100003,9,145
100024,100000,10,275
100025,100001,10,147
100026,100002,10,214
100027,100003,10,150
100028,100000,11,281
100029,100001,11,161
100030,100002,11,219
101000,101000,1,100
101001,101001,1,100
101002,101002,1,100
101003,101003,1,130
101004,101001,2,104
101005,101000,3,107
101006,101001,3,104
101007,101002,3,100
101008,101000,4,121
101009,101001,4,113
101010,101002,4,121
101011,101003,4,135
101012,101000,6,136
101013,101001,6,121
101014,101002,6,121
101015,101000,7,150
101016,101001,7,129
101017,101002,7,143
101018,101003,7,140
101019,101001,8,133
101020,101002,8,164
101021,101001,9,133
101022,101002,9,186
101023,101003,9,145
101024,101000,10,179
101025,101001,10,137
101026,101002,10,214
101027,101003,10,150
101028,101000,11,182
101029,101001,11,140
101030,101002,11,219
102000,102000,1,100
102001,102001,1,100
102002,102002,1,100
102003,102003,1,130
102004,102001,2,103
102005,102000,3,107
102006,102001,3,103
102007,102002,3,100
102008,102000,4,121
102009,102001,4,111
102010,102002,4,121
102011,102003,4,135
102012,102000,6,136
102013,102001,6,118
102014,102002,6,121
102015,102000,7,150
102016,102001,7,125
102017,102002,7,143
102018,102003,7,140
102019,102001,8,128
102020,102002,8,164
102021,102001,9,128
102022,102002,9,186
102023,102003,9,145
102024,102000,10,179
102025,102001,10,132
102026,102002,10,214
102027,102003,10,150
102028,102000,11,182
102029,102001,11,134
102030,102002,11,219
103000,103000,1,100
103001,103001,1,100
103002,103002,1,100
103003,103003,1,100
103004,103001,2,126
103005,103002,3,100
103006,103000,7,116
103007,103000,15,159
103008,103003,17,100
103009,103000,18,165
103010,103003,18,115
103011,103003,25,115
103012,103003,26,125
103013,103000,28,212
103014,103001,28,317
103015,103002,28,1313
103016,103000,30,222
103017,103001,30,325
103018,103002,30,1313
103019,103003,30,125
103020,103000,31,223
103021,103001,31,327
103022,103002,31,1346
104000,104000,1,100
104001,104001,1,100
104002,104002,1,100
104003,104003,1,100
104004,104001,2,100
104005,104002,3,100
104006,104000,7,136
104007,104000,15,192
104008,104003,17,100
104009,104000,18,207
104010,104003,18,115
104011,104003,25,115
104012,104003,26,125
104013,104000,28,230
104014,104001,28,197
104015,104002,28,1313
104016,104000,30,239
104017,104001,30,205
104018,104002,30,1313
104019,104003,30,125
104020,104000,31,240
104021,104001,31,207
104022,104002,31,1346
105000,105000,1,100
105001,105001,1,100
105002,105002,1,100
105003,105003,1,130
105004,105001,2,103
105005,105000,3,113
105006,105001,3,103
105007,105002,3,100
105008,105000,4,138
105009,105001,4,113
105010,105002,4,109
105011,105003,4,135
105012,105000,6,200
105013,105001,6,122
105014,105002,6,109
105015,105000,7,225
105016,105001,7,130
105017,105002,7,118
105018,105003,7,140
105019,105001,8,135
105020,105002,8,126
105021,105001,9,135
105022,105002,9,135
105023,105003,9,145
105024,105000,10,275
105025,105001,10,139
105026,105002,10,147
105027,105003,10,150
105028,105000,11,281
105029,105001,11,150
105030,105002,11,149
106000,106000,1,100
106001,106001,1,100
106002,106002,1,100
106003,106003,1,100
106004,106001,2,100
106005,106002,3,100
106006,106000,7,136
106007,106000,15,215
106008,106003,17,100
106009,106000,18,230
106010,106003,18,115
106011,106003,25,115
106012,106003,26,125
106013,106000,28,275
106014,106001,28,170
106015,106002,28,1641
106016,106000,30,285
106017,106001,30,176
106018,106002,30,1641
106019,106003,30,125
106020,106000,31,286
106021,106001,31,177
106022,106002,31,1674
107000,107000,1,100
107001,107001,1,100
107002,107002,1,100
107003,107003,1,130
107004,107001,2,102
107005,107000,3,110
107006,107001,3,102
107007,107002,3,100
107008,107000,4,130
107009,107001,4,109
107010,107002,4,121
107011,107003,4,135
107012,107000,6,180
107013,107001,6,121
107014,107002,6,121
107015,107000,7,200
107016,107001,7,121
107017,107002,7,143
107018,107003,7,140
107019,107001,8,124
107020,107002,8,164
107021,107001,9,124
107022,107002,9,186
107023,107003,9,145
107024,107000,10,240
107025,107001,10,127
107026,107002,10,214
107027,107003,10,150
107028,107000,11,245
107029,107001,11,135
107030,107002,11,219
108000,108000,1,100
108001,108001,1,100
108002,108002,1,100
108003,108003,1,130
108004,108001,2,102
108005,108000,3,110
108006,108001,3,102
108007,108002,3,100
108008,108000,4,130
108009,108001,4,108
108010,108002,4,121
108011,108003,4,135
108012,108000,6,180
108013,108001,6,114
108014,108002,6,121
108015,108000,7,200
108016,108001,7,119
108017,108002,7,143
