id,name,description,causality_description,aim_target,increase_rate,lv_bonus,is_inactive,created_at,updated_at
1394,Final Spirit Cannon,"Raises ATK for 1 turn and 
causes extreme damage to enemy",,0,120,15,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1395,Final Spirit Cannon,"Raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1396,Super Flame Cannon,Causes destructive damage to enemy,,0,100,10,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1397,Angry Launcher,"Causes supreme damage to enemy and 
raises ATK for 3 turns",,0,100,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1398,Super Flame Cannon,Causes destructive damage to enemy,,0,100,10,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1399,Massive Catapult,"Causes supreme damage to enemy and 
greatly lowers DEF",,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1400,Super Flame Cannon,Causes destructive damage to enemy,,0,100,10,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1401,Flame Bullet,"Causes supreme damage to enemy and 
lowers ATK",,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1402,Super Flame Cannon,Causes destructive damage to enemy,,0,100,10,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1403,Beam Strike,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1404,Beam Strike,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1405,Twin Justice Rush,"Causes extreme damage to enemy 
and seals Super Attack",,0,120,15,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1406,Twin Justice Rush,"Causes supreme damage to enemy 
and seals Super Attack",,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1407,Twin Justice Rush,"Causes supreme damage to enemy 
and seals Super Attack",,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1408,Twin Justice Rush,"Causes colossal damage to enemy 
and seals Super Attack",,0,200,5,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1409,Burning Justice,"Causes mega-colossal damage to enemy 
and raises Super Class allies' ATK by 30% 
for 2 turns",,0,220,10,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1410,Energy Field,"Causes supreme damage to all enemies 
and recovers 7% HP",,1,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1411,Energy Field,"Causes supreme damage to all enemies 
and recovers 7% HP",,1,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1412,Energy Field,"Causes colossal damage to all enemies 
and recovers 10% HP",,1,200,5,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1413,Violence Disaster,"Raises ATK for 1 turn and 
causes mega-colossal damage to enemy",,0,250,10,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1414,Milky Cannon,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1415,Special Beam Cannon,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1416,Special Beam Cannon,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1417,Special Beam Cannon (Extreme),"Causes supreme damage to enemy 
and raises DEF by 30% for 1 turn",,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1418,Feel the Pain of the Namekians!!,"Causes supreme damage to enemy 
and raises DEF by 30% for 1 turn",,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1419,Feel the Pain of the Namekians!! (Extreme),"Causes supreme damage to enemy 
and raises DEF by 30% for 3 turns",,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1420,Super Kamehameha,"Greatly raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1421,Supernova,"Causes supreme damage to enemy and 
greatly lowers DEF",,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1422,Ki Blast Cannon,"Raises ATK & DEF and 
causes immense damage to enemy",,0,160,25,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1423,Kamehameha,"Raises ATK & DEF and 
causes immense damage to enemy",,0,160,25,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1424,Super Kamehameha,"Raises ATK & DEF and 
causes immense damage to enemy",,0,160,25,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1425,Super Kamehameha,"Raises ATK & DEF and 
causes immense damage to enemy",,0,160,25,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1426,Dragon Smash,"Raises ATK & DEF and 
causes immense damage to enemy",,0,160,25,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1427,Grudgeless Strike,"Causes immense damage 
with a great chance to stun the enemy",,0,180,25,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1428,Death Ball,"Raises ATK & DEF and 
causes immense damage to enemy",,0,160,25,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1429,Death Beam,"Raises ATK & DEF and 
causes immense damage to enemy",,0,160,25,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1430,Death Wave,"Raises ATK & DEF and 
causes immense damage to enemy",,0,160,25,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1431,Crazy Finger Beam,"Raises ATK & DEF and 
causes immense damage to enemy",,0,160,25,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1432,This Time You Might Die,"Raises ATK & DEF and 
causes immense damage to enemy",,0,160,25,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1433,Grudgeless Strike,"Causes immense damage 
with a great chance to stun the enemy",,0,180,25,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1434,Kamehameha,"Raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.066840,2024-02-27 09:32:37.066840
1435,20x Kaioken Kamehameha,"Greatly raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1436,This Time You Might Die,"Raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1437,It Hurts!!!,"Greatly raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1438,Angry Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1439,It Hurts!!!,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1440,Kamehameha,Causes immense damage to enemy,,0,180,10,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1441,Super Kamehameha,Causes immense damage to enemy,,0,180,10,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1442,Super Kamehameha,Causes immense damage to enemy,,0,180,10,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1443,Dragon Smash,Causes immense damage to enemy,,0,180,10,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1444,Death Beam,Causes immense damage to enemy,,0,180,10,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1445,Death Wave,Causes immense damage to enemy,,0,180,10,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1446,Crazy Finger Beam,Causes immense damage to enemy,,0,180,10,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1447,This Time You Might Die,Causes immense damage to enemy,,0,180,10,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1448,Ranger's Little Helpers,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1449,Ranger's Little Helpers,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1450,Limitbreaking Assault,"Causes supreme damage to enemy 
and lowers ATK",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1451,Limitbreaking Assault,"Causes colossal damage to enemy 
and lowers ATK",,0,200,5,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1452,Miracle of Universe 7,"Causes mega-colossal damage 
to enemy and lowers ATK & DEF",,0,250,10,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1453,Mystic Ball Attack,"Causes immense damage to enemy and 
lowers ATK & DEF",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1454,Mystic Ball Attack,"Causes immense damage to enemy and 
lowers ATK & DEF",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1455,Super Ghost Kamikaze Attack,"Greatly raises ATK & DEF for 1 turn and 
causes immense damage to enemy",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1456,Kamehameha,"Causes immense damage to enemy and 
seals Super Attack",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1457,Special Beam Cannon,"Greatly raises DEF for 1 turn and 
causes immense damage to enemy",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1458,Champion's Final Trump Card,"Causes supreme damage with 
a medium chance of stunning the enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1459,Champion's Final Trump Card,"Causes supreme damage with 
a medium chance of stunning the enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1460,Sacred Light Bullet,"Greatly raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1461,Angry Explosion,"Causes supreme damage to all enemies 
with a rare chance of stunning them",,1,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1462,Guilty Flash,"Causes supreme damage to enemy and 
seals Super Attack",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1463,Super Ghost Kamikaze Attack,Causes immense damage to enemy,,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1464,Kamehameha,Causes immense damage to enemy,,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1465,Special Beam Cannon,Causes immense damage to enemy,,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1466,Shock Wave,"Causes supreme damage to enemy and 
raises Super Class allies' ATK by 20% 
for 1 turn",,0,130,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1467,Supreme Kai's Hyper Dance,"Causes supreme damage to enemy and 
raises Super Class allies' ATK by 30% 
for 1 turn",,0,120,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1468,Sacred Light Bullet,"Raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1469,God Shock Flash,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1470,Mighty Powerful God Shockwave,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1471,Super Ghost Kamikaze Attack,"Causes supreme damage 
with a high chance to stun the enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1472,Final Spirit Cannon,"Massively raises DEF and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1473,Time Skip,"Causes supreme damage with 
a great chance of stunning the enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1474,Planet Burst (Extreme),"Causes immense damage to enemy 
and lowers DEF",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1475,Dragon Fist (Extreme),"Causes supreme damage to enemy and 
greatly lowers DEF",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1476,Explosive Demon Flash,"Causes supreme damage with 
a medium chance to stun the enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1477,Paper...Scissors...Rock!!!!,"Causes extreme damage to enemy 
and seals Super Attack",,0,120,15,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1478,Paper...Scissors...Rock!!!!,"Causes supreme damage to enemy 
and seals Super Attack",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1479,Beam Machine Gun,"Causes supreme damage to enemy 
and lowers ATK",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1480,Chain Smash,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1481,Hungry Stamp,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1482,Supernova,"Causes immense damage to enemy and 
lowers ATK & DEF",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1483,Lock-On Buster,"Causes immense damage to enemy and 
lowers ATK & DEF",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1484,Destroy Laser,"Greatly raises ATK temporarily and 
causes destructive damage to enemy",,0,100,10,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1485,Mystic Attack,"Causes supreme damage with 
a chance to stun the enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1486,Makosen Flash,"Causes supreme damage to all enemies 
with a chance of stunning them",,1,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1487,Cyclone Shot,"Causes supreme damage with 
a medium chance of stunning the enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1488,Energy Slash,"Causes supreme damage with 
a high chance of stunning the enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1489,Destroy Laser,Causes destructive damage to enemy,,0,100,10,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1490,Supernova,"Causes supreme damage to enemy and 
raises Extreme Class allies' ATK by 20% 
for 1 turn",,0,130,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1491,Supernova,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1492,Supernova,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1493,Supernova,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1494,Supernova,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1495,Supernova,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1496,Super Tech Gatling,"Raises DEF for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1497,Final Burst Cannon,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1498,Final Burst Cannon,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1499,Photon Bomber,Causes colossal damage to enemy,,0,200,5,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1500,Big Bang Attack,"Greatly raises ATK for 1 turn and 
causes mega-colossal damage to enemy",,0,250,10,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1503,Super Kamehameha,"Raises ATK for 1 turn 
and causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1504,God of Destruction's Edict (Extreme),"Causes immense damage to enemy and 
greatly lowers DEF",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1505,Power Flick (Extreme),Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1506,Cataclysmic Orb (Extreme),"Greatly raises ATK temporarily and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1507,God of Destruction's Edict (Extreme),"Causes immense damage and 
stuns the enemy",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1508,Solar Kamehameha (Extreme),"Greatly raises ATK and 
causes supreme damage to enemy",,0,100,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1509,Stay Away From Me!,"Causes supreme damage with 
a medium chance of stunning the enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1510,Big Amour,"Causes supreme damage to enemy and 
seals Super Attack",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1511,Hawk Charge,"Causes supreme damage to enemy and 
lowers ATK & DEF",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1512,Kamehameha,"Causes supreme damage to enemy and 
raises DEF by 30% for 6 turns",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1513,All-Out Surprise Attack,"Causes supreme damage with 
a great chance of stunning the enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1514,Energy Wave,"Causes supreme damage to enemy and 
raises ATK & DEF by 30% for 6 turns",,0,120,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1515,Ribrianne Super Amore Shower,"Causes supreme damage to enemy and 
lowers DEF",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1516,Instant Transmission Kamehameha,"Causes immense damage with 
a medium chance of stunning the enemy",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1517,Atomic Flash,"Causes immense damage to enemy and 
greatly lowers DEF",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1518,Ultra Time Judgement,"Causes supreme damage to enemy and 
seals Super Attack",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1519,Android Kick,"Greatly raises DEF and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1520,Boiling Fist,"Greatly raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1521,Dark King's Flash,"Causes immense damage to enemy 
and lowers ATK & DEF",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1522,Dark Final Flash,"Causes immense damage to enemy 
and lowers ATK & DEF",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1523,Eagle Kick,"Causes supreme damage to enemy and 
raises ATK for 3 turns",,0,100,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1524,No Forgiveness for Evil!,"Causes supreme damage to enemy and 
raises ATK for 6 turns",,0,100,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1525,Galick Blazer (Extreme),"Causes immense damage with 
a high chance of stunning the enemy",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1526,Final Flash (Extreme),"Causes supreme damage to enemy and 
lowers ATK",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1527,Memories of Bloodshed,"Greatly raises DEF and 
causes immense damage to enemy",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1528,Black Power Ball,"Greatly raises DEF and 
causes immense damage to enemy",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1529,Holy Black Kamehameha,"Greatly raises DEF and 
causes immense damage to enemy",,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1530,Black Power Ball,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1531,Black Power Ball,Causes immense damage to enemy,,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1532,Holy Black Kamehameha,Causes immense damage to enemy,,0,180,25,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1533,Meteor Assault,"Greatly raises DEF for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1534,Dark Impulse,"Greatly raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1535,Wolf Fang Fist,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1536,Wolf Fang Fist,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0,2024-02-27 09:32:37.077127,2024-02-27 09:32:37.077127
1537,Wolf Fang Fist,"Causes colossal damage to enemy 
and lowers DEF",,0,200,5,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1538,Wolf Fang Fist,"Causes mega-colossal damage to enemy 
and massively lowers DEF",,0,250,10,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1539,Destructo-Disc,"Causes supreme damage to enemy and 
raises DEF by 30% for 3 turns",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1540,Buster Cannon,"Causes supreme damage to enemy and 
raises ATK & DEF by 30% for 3 turns",,0,120,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1541,Time Skip,"Causes immense damage with 
a medium chance of stunning the enemy",,0,180,25,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1542,Cage of Time,"Causes immense damage with 
a medium chance of stunning the enemy",,0,180,25,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1543,Volcano Explosion,"Causes supreme damage to enemy 
and raises DEF by 30% for 3 turns",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1544,Bota Magetta Special,"Causes supreme damage to enemy 
and raises DEF by 30% for 6 turns",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1545,Chaos Ball,"Raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1546,Dirty Burst,"Greatly raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1547,Sphere of Destruction,"Causes supreme damage to enemy 
and greatly lowers DEF",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1548,Volcano Explosion,"Causes supreme damage to enemy 
and lowers ATK",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1549,Volcano Explosion,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1550,Lightning Shower Rain (Extreme),"Causes immense damage and 
greatly lowers DEF",,0,180,25,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1551,Super Kamehameha (Extreme),"Causes supreme damage to enemy and 
raises ATK for 6 turns",,0,100,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1552,Explosive Demon Flash (Extreme),"Causes supreme damage with 
a medium chance of stunning the enemy",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1553,Shining Cross,"Causes supreme damage with 
a medium chance of stunning the enemy",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1554,Shining Cross,"Causes supreme damage with 
a medium chance of stunning the enemy",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1555,All-Out Counterattack,"Causes colossal damage with 
a medium chance of stunning the enemy",,0,200,5,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1556,Decisive Offensive for the Future,"Causes mega-colossal damage with 
a high chance of stunning the enemy",,0,250,10,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1557,Kamehameha,"Raises ATK for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1558,Big Bang Attack,"Raises DEF for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1559,Final Flash,"Raises DEF for 1 turn and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1560,Meteor Crush,"Raises ATK and 
causes supreme damage to enemy",,0,120,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1561,Small Supernova,"Causes supreme damage to enemy and 
raises Extreme Class allies' ATK by 20% for 1 turn",,0,130,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1562,Tick Needle,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1563,Anger Shout,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1564,Stardust Fall,"Greatly raises ATK for 1 turn and 
causes immense damage to enemy",,0,180,25,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1565,Stardust Fall,"Greatly raises ATK for 1 turn and 
causes immense damage to enemy",,0,180,25,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1566,Stardust Breaker,"Greatly raises ATK for 3 turns and 
causes immense damage to enemy",,0,180,25,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1567,Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1568,God Bind,"Causes supreme damage to enemy 
and seals Super Attack",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1569,Big Bang Attack,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1570,Big Bang Attack,"Greatly raises ATK and 
causes supreme damage to enemy",,0,100,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1571,Blaster Meteor,"Greatly raises ATK for 1 turn and 
causes supreme damage to all enemies",,1,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1572,Blaster Meteor,"Greatly raises ATK for 1 turn and 
causes supreme damage to all enemies",,1,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1573,Gigantic Catastrophe,"Causes immense damage to enemy 
and massively lowers DEF",,0,180,25,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1574,Meteor Crush,"Raises ATK for 3 turns and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1575,Anger Shout,"Raises ATK for 3 turns and 
causes supreme damage to enemy",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
1576,Shot Remover,"Causes supreme damage to enemy 
and lowers ATK",,0,150,20,0,2024-02-27 09:32:37.087241,2024-02-27 09:32:37.087241
