id,budokai_motivation_id,type,description,conditions
4507,4507,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
4508,4508,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
4509,4509,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
4510,4510,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
4511,4511,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
4512,4512,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
4604,4604,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
4605,4605,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
4606,4606,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
4607,4607,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
4608,4608,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
4609,4609,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
4610,4610,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
4611,4611,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
4612,4612,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
4704,4704,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
4705,4705,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
4706,4706,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
4707,4707,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
4708,4708,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
4709,4709,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
4710,4710,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
4711,4711,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
4712,4712,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
4804,4804,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
4805,4805,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
4806,4806,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
4807,4807,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
4808,4808,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
4809,4809,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
4810,4810,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
4811,4811,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
4812,4812,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
4904,4904,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
4905,4905,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
4906,4906,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
4907,4907,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
4908,4908,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
4909,4909,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
4910,4910,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
4911,4911,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
4912,4912,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
102204,102204,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
102205,102205,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
102206,102206,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
102207,102207,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
102208,102208,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
102209,102209,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
102210,102210,BudokaiMotivationUnlockCondition::TitleCondition,7回優勝で解放,"{""title_num"": 7}"
102211,102211,BudokaiMotivationUnlockCondition::TitleCondition,8回優勝で解放,"{""title_num"": 8}"
102212,102212,BudokaiMotivationUnlockCondition::TitleCondition,9回優勝で解放,"{""title_num"": 9}"
